Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at,exp_id2,exp_id1,internal_id
64a0f628f65f5ca1fcb2ee6f,,APPROVED,2023-07-02T03:59:40Z,2023-07-02T04:38:46Z,2023-07-23T00:00:05Z,2023-07-02T04:38:47Z,2347,CQXVLPYN,1037,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,685597,598179,1
63f66c70931110039fb908cb,,APPROVED,2023-02-22T19:26:50Z,2023-02-22T20:44:38Z,2023-02-22T20:59:53Z,2023-02-22T20:44:38Z,4668,CQXVLPYN,149,25,Male,Asian,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,605903,598250,2
63f66c931832b29f14bff7b2,,APPROVED,2023-02-22T19:27:21Z,2023-02-22T20:27:05Z,2023-02-22T20:38:51Z,2023-02-22T20:27:05Z,3584,CQXVLPYN,4390,35,Male,White,United States,United States,United States,English,No,Full-Time,NA,605905,598389,3
63f66cd42b9db02f9805164b,,APPROVED,2023-02-22T19:28:24Z,2023-02-22T21:16:30Z,2023-02-22T23:23:33Z,2023-02-22T21:16:31Z,6487,CQXVLPYN,366,30,Female,White,United States,United States,United States,English,No,Full-Time,NA,605910,598398,4
63f66cc395f89e0c2ac82f09,,APPROVED,2023-02-22T19:28:51Z,2023-02-22T20:03:13Z,2023-02-22T20:10:33Z,2023-02-22T20:03:14Z,2063,CQXVLPYN,1852,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,NA,605911,598383,5
63f66cd95f0b269f5781f255,,APPROVED,2023-02-22T19:30:04Z,2023-02-22T20:17:20Z,2023-02-22T20:25:32Z,2023-02-22T20:17:41Z,2836,CQXVLPYN,219,37,Male,Mixed,United States,United States,United States,English,No,Full-Time,NA,605913,598429,6
63f66dab2bd08c6b39689775,,APPROVED,2023-02-22T19:31:59Z,2023-02-22T20:54:38Z,2023-02-22T21:01:25Z,2023-02-22T20:54:39Z,4960,CQXVLPYN,2908,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605914,598279,7
63f66cafe1b2cc2db5fe61e5,,APPROVED,2023-02-22T19:29:26Z,2023-02-22T20:18:24Z,2023-02-22T20:26:17Z,2023-02-22T20:18:24Z,2939,CQXVLPYN,2705,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605915,598286,8
63f66f8e1d746f7068600361,,APPROVED,2023-02-22T19:39:58Z,2023-02-22T20:55:06Z,2023-02-22T21:02:10Z,2023-02-22T20:55:07Z,4509,CQXVLPYN,630,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605918,598226,9
63f670bedb984ee8d6bf84f2,,APPROVED,2023-02-22T19:45:02Z,2023-02-22T20:26:02Z,2023-02-22T20:27:11Z,2023-02-22T20:26:02Z,2460,CQXVLPYN,1053,30,DATA_EXPIRED,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605923,598258,10
63f672ebbb2d5a69a7e08116,,APPROVED,2023-02-22T19:54:24Z,2023-02-22T20:53:38Z,2023-02-22T21:02:51Z,2023-02-22T20:53:38Z,3554,CQXVLPYN,1075,31,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605929,597942,11
63f66d17dd119a25f481f275,,APPROVED,2023-02-22T19:29:27Z,2023-02-22T20:34:09Z,2023-02-22T20:37:40Z,2023-02-22T20:34:09Z,3882,CQXVLPYN,2357,30,Male,White,United States,United States,United States,English,No,Other,NA,605934,598364,12
63f670cf65f08ba21da604e1,,APPROVED,2023-02-22T19:45:21Z,2023-02-22T20:59:09Z,2023-02-22T21:03:56Z,2023-02-22T20:59:09Z,4428,CQXVLPYN,418,23,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,605939,598223,13
63f66f664a2f11721f507aa9,,APPROVED,2023-02-22T19:39:22Z,2023-02-22T21:18:18Z,2023-02-22T23:23:33Z,2023-02-22T21:18:20Z,5937,CQXVLPYN,27,30,Male,White,United States,United States,United States,English,No,Full-Time,NA,605942,598162,14
63f67899ac4940d96d8313fc,,APPROVED,2023-02-22T20:21:25Z,2023-02-22T21:23:34Z,2023-02-22T23:23:33Z,2023-02-22T21:23:35Z,3730,CQXVLPYN,1301,24,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,605943,597953,15
63f679ef7bd71c5886e2f7b1,,APPROVED,2023-02-22T20:24:18Z,2023-02-22T21:22:43Z,2023-02-22T23:23:33Z,2023-02-22T21:22:43Z,3505,CQXVLPYN,741,34,Female,White,United States,United States,United States,English,No,Full-Time,NA,605945,598221,16
63f67a6882e0cbe3e4afcabe,,APPROVED,2023-02-22T20:26:20Z,2023-02-22T21:17:49Z,2023-02-22T23:23:34Z,2023-02-22T21:17:49Z,3090,CQXVLPYN,385,19,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605947,598240,17
63f66d5f7804be115cd4ae55,,APPROVED,2023-02-22T19:30:39Z,2023-02-22T21:27:42Z,2023-02-22T23:23:33Z,2023-02-22T21:27:43Z,7024,CQXVLPYN,191,33,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,NA,605957,598328,18
63f67e129f68eeb2a441a6bb,,APPROVED,2023-02-22T20:42:01Z,2023-02-22T22:03:43Z,2023-02-22T23:23:34Z,2023-02-22T22:03:43Z,4902,CQXVLPYN,2569,31,Female,White,"Venezuela, Bolivarian Republic of",United States,United States,English,No,Part-Time,NA,605959,598289,19
63f67e4a1822bca8c46ab0a3,,APPROVED,2023-02-22T20:44:04Z,2023-02-22T21:22:35Z,2023-02-22T23:23:34Z,2023-02-22T21:22:36Z,2312,CQXVLPYN,1481,35,Male,White,United States,United States,United States,English,No,Full-Time,NA,605961,598384,20
63f67fc50252f9bc0958b33f,,APPROVED,2023-02-22T20:49:13Z,2023-02-22T21:55:53Z,2023-02-22T23:23:34Z,2023-02-22T21:55:54Z,4000,CQXVLPYN,467,23,Female,White,United States,United States,United States,English,No,Full-Time,NA,605963,598330,21
