Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,arousal,bluegrass,blues,bossa nova,choral,classical,Condition_Id,country,dance_remix,edm,factor1_tg1_task0,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,,r_and_b,rap,rock,salsa,self_description,valence,vintage,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,2,instructions,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,1,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,2,42,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,3,31,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,4,33,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,7,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,5,44,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,5,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,6,22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,7,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,8,45,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
