Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,arousal,bluegrass,blues,bossa nova,choral,classical,Condition_Id,country,dance_remix,edm,factor1_tg1_task0,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,,r_and_b,rap,rock,salsa,self_description,valence,vintage,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,6,post survey,1,1,1,6,Daily household chores,29,NA,1,1,1,1,1,1,3,3,3,NA,"Norwegian Death Metal, Indie Pop, Hip Hop",NA,4,2,NA,I got more into Metal over the years.,"They vary significantly, it's really just if I like it then I like it. It does not have to fit into any mold or genre.",4,1,30-60,4,not a musician,1,6,NA,1,NA,Youtube.com,4,,1,4,4,1,option_1,NA,3,yes,NA,NA,2023-02-01T17:40:15Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,3,"Driving, exercising, folding laundry",34,NA,1,1,1,2,2,1,6,4,2,NA,"Pop, country, dance",NA,1,2,NA,"I started out with 90s country and 70-80s ""oldies"" with some 60s mixed in. Now I tend to prefer 90s to 00s pop with modern stuff mixed in, but I still listen to my previous preferences.",n/a,2,2,60-90,4,Classically trained percussionist from age 11-19; marching band drummer from age 13-19; classically trained bassoonist at age 17.,3,5,NA,2,NA,YouTube; Spotify; Amazon Music,6,,3,2,6,2,option_2,NA,4,yes,NA,NA,2023-02-01T17:43:40Z,592387,group_1,677784,session_1,1,2023-02-01T17:15:19Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,5,"All of those listed as examples, cooking, while doing makeup, and while doing work (on the computer)",26,NA,2,1,1,2,3,1,2,3,3,NA,"Rock, rap, and pop",NA,2,4,NA,"I didn't always listen to as much music as I do today. During my school years, I couldn't focus very well on doing homework if I was listening to music. And homework took up the majority of my time when I was in school. Now, since I do a lot of PowerPoint/Adobe Acrobat design work in my job, I'm able to listen while I work. I think it's harder to focus on tasks like math and writing while listening to (good) music. I also listen to a lot more rap these days - probably because I can appreciate the lyrics more, both because I'm older and because I can multitask better.",I have definitely honed in on the 80s as my favorite musical time period!,5,2,2-3hrs,3,"Taught piano by neighborhood piano teacher, playing from age 8-14",3,4,NA,1,NA,"Radio, Apple Music",5,,4,5,5,1,option_1,NA,2,yes,NA,NA,2023-02-01T17:59:26Z,592391,group_1,677788,session_1,1,2023-02-01T17:20:36Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,6,"driving, homework",22,NA,1,2,1,1,2,1,1,3,2,NA,"pop, hip hop, rap",NA,2,2,NA,More frequent when driving. More autonomy over what I listen to.,NA,4,2,15-30,1,"Taught violin 7-8, taught piano 9-17",1,6,NA,1,NA,apple music,5,,2,3,2,1,option_2,NA,1,yes,NA,NA,2023-02-01T17:54:36Z,592398,group_1,677795,session_1,1,2023-02-01T17:27:11Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,7,"Getting ready to leave the house, Driving, Delivery Driving (working), hanging out with friends, Doing chores around the house",37,NA,1,1,1,1,4,1,1,4,3,NA,"Hip Hop, (Big Beat) electronic, Classical",NA,2,2,NA,I've recently started listening to a lot more classical music.,"I often go in spells, either only wanting to hear freshly released new music or only wanting to hear nostalgic hip hop and r and b classics from my childhood. I then sometimes just ""switch"" to classical music and when listening to classical I like to pick one song and listen to it over and over, analyzing the piece and uncovering layers of feelings.",5,1,4hrs or more,1,"Self-taught Singer, guitarist, beat programmer, piano player and drummer. I have performed as a singer and rapper with multiple groups in live venues and studio recordings from age 13-33.",1,4,NA,1,NA,"Youtube, Spotify, Soundcloud",4,,4,5,3,1,option_4,NA,2,yes,NA,NA,2023-02-01T18:12:59Z,592397,group_1,677794,session_1,1,2023-02-01T17:26:40Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,5,"Driving, walking, and  working",29,NA,1,2,1,2,2,1,2,2,2,NA,"Indie, Rock, Pop",NA,4,2,NA,"I think I listen more to radio type music now, than I did when I was younger.",I love putting on Spotify and finding new bands through the shuffle feature.,3,3,2-3hrs,2,"I self taught myself to play some bass guitar when I was 14, but I have since forgotten how to play.",3,4,NA,1,NA,"Youtube, Spotify, Radio",4,,3,2,4,1,option_1,NA,3,yes,NA,NA,2023-02-01T17:56:35Z,592400,group_1,677797,session_1,1,2023-02-01T17:29:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"walking, working on the computer.",39,NA,2,2,3,2,3,1,3,1,1,NA,"rock, vintage, folk/indie",NA,3,2,NA,I went from listening to mostly rap to rock and classic pop.,I like mostly rock/pop from the 1960's-1990s,2,3,60-90,3,Self-taught pianist playing from age 27-39.,1,5,NA,1,NA,"youtube, CDs, MP3s",2,,3,2,4,1,option_2,NA,3,yes,NA,NA,2023-02-01T18:02:46Z,592410,group_1,677807,session_1,1,2023-02-01T17:35:26Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,5,"Driving, cooking, vacuuming and doing art projects with my daughter.",31,NA,1,1,1,1,1,1,1,3,1,NA,"Alt rock, reggaeton, pop",NA,4,1,NA,"I was more into music in my teens, but now I don't have as much time for it now. I listen to music when I have the time and if it suits the situation.","I like putting on music as much as I can, but just don't get the chance to do so as much as I'd like. I forgot to include that I like putting on music when I'm getting ready to go out.",4,1,30-60,1,Not a musician and no musical talent whatsoever.,2,5,NA,1,NA,"Youtube, music downloaded on my phone and the radio in the car.",4,,4,3,4,4,option_1,NA,1,yes,NA,NA,2023-02-01T18:23:04Z,592411,group_1,677808,session_1,1,2023-02-01T17:36:10Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,2,"driving, exercising, cleaning",39,NA,1,1,1,1,2,1,5,3,1,NA,"country, pop, rock",NA,1,3,NA,no,NA,3,1,15-30,2,Not a musician,2,4,NA,1,NA,Radio,5,,1,2,4,1,option_0,NA,3,yes,NA,NA,2023-02-01T18:03:02Z,592415,group_1,677812,session_1,1,2023-02-01T17:37:47Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,7,"driving, working, chores at home",23,NA,1,1,1,1,1,1,1,4,4,NA,"pop, dance, hip hop",NA,1,4,NA,I have started to enjoy some of the classics more. Such as 80'. also some indie music,"I really like to follow other peoples playlists and get new songs, genres to listen to",3,2,4hrs or more,2,I was in school choir/singer from age 9-18. I was a member of the all state girls choir for Texas,1,3,NA,1,NA,Used to be Spotify now apple music,5,,1,4,5,1,option_1,NA,4,yes,NA,NA,2023-02-01T18:10:49Z,592417,group_1,677814,session_1,1,2023-02-01T17:38:20Z,NA,NA,NA,not measured,NA,TRUE
