internal_id,session,song_id,orig_or_cover,age_at_event,association,control,description,emot_content,emot_intensity,energetic,experience,familiarity,important,preference,social,unique,vivid,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,mean_arousal
1,1,2013_1,cover,20,I do not associate it,completely spontaneous,I was walking alone to one of my first few job interviews.,neutral,not at all,not at all,I have never heard it,not at all,not at all,not at all,not at all,very,not at all,0.8204868963390166,-0.24493836025521423,-0.6637222500891568,-0.5434068629761738,-0.7420385710805045,-0.5911431159620992,-0.483559550134345,0.9869357552765456,1.0115830431468786,-0.06561477717017973,-0.5495881082174129,0.6186070868804839,0.4773915429030512,0.3612489060299284,0.00124250144932186,0.5356688960245789,1.362840355452961,-0.3456051737176562,0.09218028147770224,0.8239942223483074,-0.2634359014981353,G,1.2186057606953942,0.6669202416298763,1,-0.10011672261421138,-0.3347228033044931
1,1,2016_5,orig,9,I do not associate it,completely spontaneous,I remembered when my mother threw out my Yugioh cards because she thought they were demonic,somewhat negative,not at all,not at all,I have never heard it,not at all,a little,not at all,extremely,extremely,not at all,-0.388589541189115,0.7582192590736536,0.5903262265980145,1.7833767653501955,-0.14091150783830125,0.7468103496590952,0.389115518871051,-0.1782463876282128,-0.10126178505927189,1.172513009639675,0.41667397916246623,-0.33110405739259063,-1.6419099749283148,0.34568063830176626,-0.40287900111510727,-0.9166102445567512,1.0729357372221695,-1.6744736540793448,0.7087568596935165,-1.225782776980388,-0.6725766518285908,a,-0.8124038404635961,0.6669202416298763,1,-0.5414025523187137,-0.15148039273634045
1,1,2017_2,orig,21,I do not associate with anything in particular besides maybe the internet since many memes were made about it,completely spontaneous,I was sitting at home alone watching a youtube video by one of my favorite content creators when he parodied this song,somewhat positive,not at all,a little,I have heard it a few times over the internet but rather than listening have heard people talking about how popular it is more than actually hearing the song itself. I have not played it myself however,a little,not at all,not at all,a little,very,not at all,1.652172804069034,0.8851864853504511,0.5134663575258354,-0.9529911325000608,0.7871760900594407,0.712060485768335,-0.13230062185222707,0.8650570271724274,-0.3336994045785063,0.1581003406875914,-0.704562834961852,-0.0839996629084041,0.428714656010734,0.2664307411551095,0.1543916567211863,-2.7793687671197066e-4,-0.4458848983074648,0.3807435619954566,0.1086365594324928,0.863898559974864,-0.5500014229540788,D,-0.8124038404635961,0.6669202416298763,1,0.5893923862990751,0.5814892495362701
1,1,2017_3,orig,10,I do not associate it,completely spontaneous,I remembered when I was at a pool party with my family and one of my relatives drank wine from an over the top wine glass,neutral,not at all,not at all,I have never heard it,not at all,not at all,not at all,extremely,extremely,not at all,0.1987466100764344,0.121001225146756,-0.14205898665478578,0.6575371365635523,-0.4952064064740258,-0.05900845399465235,-1.024509583648556,-0.502253854653407,-0.8631547368670437,0.0632248566975235,0.43938485582811165,0.7845109665281617,0.9711098515245408,0.3445799169001021,1.614659042021362,1.2526905806209088,1.1583963175939025,1.0287442478539,1.04521125605563,1.0235932135679544,-1.4477907057613126,Ab,-0.8124038404635961,0.6669202416298763,1,1.0030978516470477,-0.41616387466811616
1,1,2018_5,cover,9,I do not associate it with anything,completely spontaneous,I was at a fireworks festival when I smelled something bad and my mother said it was probably people smoking weed,very negative,not at all,not at all,I have never heard it before,not at all,not at all,not at all,a little,extremely,not at all,-0.0915984283441243,-2.6689238076903004,-2.48524438237048,0.7107028969938696,-1.8542852823485656,-2.633074938590723,-1.8847136142190395,-1.6845423849964516,3.199197210173825,0.4652561497023376,-2.48963816451253,-1.0680025596614502,-0.8241479969752976,-0.22410640076847244,-2.3970233148397373,-0.7870945890893561,-1.6104126237639227,-2.4524671628397012,-0.7589368794422219,-2.4223342178741443,-1.5931433390033398,a,1.2186057606953942,-1.4844353765310143,2,-2.0583225919279435,-2.085705837622396
1,2,2008_3,orig,12,around ages 10-15,completely spontaneous,It maybe remember one of the school dances I attended during junior high.,neutral,not at all,not at all,I have heard the song on radio and on the internet before,a little,not at all,not at all,very,somewhat,a little,1.6535448183563086,-0.9261920239086046,-1.2382353775715822,0.8527017278394705,-0.8297400638761723,-1.104748720968299,-1.2886817333737095,0.3326063064471298,0.9091225800329324,-0.5008816429455832,-0.7116616960965677,-1.088002373362945,0.08770493697623191,1.6765801499527395,0.5937523947701414,-0.11402649469374412,2.740471243225547,0.6255659546208019,0.5145991140839172,0.9604936088883762,-0.5072503894501619,E,1.2186057606953942,-1.4844353765310143,1,0.14810655659457275,-0.02931878569090477
1,2,2011_3,cover,8,young age around 6-10,completely spontaneous,I was participating in a school run as another song from this era played,somewhat positive,not at all,a little,I have heard it before on the radio while being driven to school,a little,not at all,a little,a little,very,somewhat,1.67146927487619,0.9139374869603716,1.001074374196791,-0.3210028251872818,1.0508257369927263,0.9105123985610236,0.9157664205734728,1.608616235025346,-0.9822815349923374,0.06608305554871924,0.6755486013771811,0.17462790598717212,0.7473720819594463,1.087406800689907,0.5425872298538678,1.2955219066282018,0.5996198951856014,-0.3294211993456834,0.02797870332357941,0.4793060764676449,0.9055376708745948,Ab,1.2186057606953942,-1.4844353765310143,1,1.747767689273395,1.6605834451042802
1,2,2017_2,cover,20,2017-2020,completely spontaneous,One of the favorite youtubers parodied the song in a video,neutral,not at all,a little,I have heard this song many times on the internet via videos and livestreams,a little,not at all,not at all,a little,somewhat,a little,1.3146057583463278,-0.5247350066475631,-1.313849625161506,0.11488484775944914,-0.5861052425285903,-0.9837123859319692,-1.7280615788720517,-0.19339101756218796,0.9501963564176366,0.9831052361595756,0.36010733227924707,1.2164565200085586,0.30028809538922707,-0.5906289314378677,0.9487003400117792,-1.2507060464363462,-0.1679846715487808,0.6020852780281146,-0.8073546964120449,0.23572322017286135,-0.5500014229540788,Db,-0.8124038404635961,0.6669202416298763,2,-0.37592036617952546,-0.5179652138726457
1,2,2018_2,cover,17,no association,completely spontaneous,Private,neutral,a little,a little,never heard it,not at all,extremely,not at all,not at all,very,somewhat,1.2100929099749589,1.4463180189436091,1.5267209672864213,0.802586819951065,0.3352867579961398,1.6213507431860934,1.0393853266537425,0.6140375941439826,-1.2620885143905325,0.5001971025502735,-1.291846699689226,-1.600496015776527,-1.2594527172601149,-1.073347469518006,-1.564496542727962,-1.0039241027959749,-1.53588338984702,-1.4991721673375178,-1.267496773693472,-1.9645336501788484,-1.6605018759423182,Ab,-0.8124038404635961,0.6669202416298763,7,-0.07253635825767901,-1.434177266713409
1,2,2019_1,orig,19,late teenhood around ages 17-20,somewhat spontaneous,A memory of me watching a video game lifestream came to mind,somewhat positive,not at all,a little,No personal association but have heard the song multiple times over the internet,somewhat,not at all,a little,a little,not at all,not at all,-0.5719193737597396,-1.9041045631121016,-0.9324299896827344,1.1708550140944234,-0.21029386285815524,-1.381331538191316,-0.4772226528403983,-1.1020168231347738,0.2731245416631884,-2.785364185328946,-1.730146938129624,-2.9831289568916772,-3.802915446800077,-1.4488037564650835,-3.8961489596590697,-3.1033736773890968,-1.2074304718032216,-3.3226655112426604,-0.39612805263906126,-1.701582274855192,-1.4477907057613126,Db,-0.8124038404635961,0.6669202416298763,1,-0.10011672261421138,-0.6401268209180805
