Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked,internal_id,session
1,block_1,1,consent,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,2,instructions,1,1,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it on a playlist,NA,option_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,option_2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,1,25,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"It’s a cover of Bad Guy, I had never heard this cover before",NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,2,11,NA,NA,NA,NA,28,28,NA,NA,NA,NA,NA,1,somewhat deliberate,NA,NA,I heard it during vacation at a roller coaster park.,NA,somewhat positive,not at all,somewhat,I heard it several times during a really great day with my husband,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,extremely,somewhat,NA,NA,not at all,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,3,5,NA,NA,NA,NA,20,"20-21, when I met my husband while working. It was when I first became independent and drove myself to and from work",NA,NA,NA,NA,NA,1,completely spontaneous,NA,NA,I was obsessed with this song and I listened it on repeat (had the album) to and from work every day for weeks.,NA,very positive,somewhat,somewhat,One of my favorite albums,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,love it!,,NA,NA,NA,NA,NA,not at all,very,NA,NA,extremely,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,4,16,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Never heard it,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,5,7,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,My husband loves this song,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,6,19,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Never heard it,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,7,9,NA,NA,NA,NA,NA,Not applicable,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Lyrics are familiar but I have not heard this song,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,8,14,NA,NA,NA,NA,NA,Not applicable,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Never heard it,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,9,23,NA,NA,NA,NA,NA,27-29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it a few times and watched the music video,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,10,22,NA,NA,NA,NA,NA,"Not applicable, never heard it",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Never heard it before,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,11,1,NA,NA,NA,NA,19,18-21,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,"I recall watching a dance number to this, on a show called So You This You Can Dance. The song and dance routine was very powerful and emotional.",NA,somewhat positive,somewhat,somewhat,Recognize the song from a tv show of competition dancing,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,a little,somewhat,NA,NA,a little,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,12,2,NA,NA,NA,NA,NA,19-25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"I have heard it several times, very popular song",NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
1,block_1,3,main task 1,13,8,NA,NA,NA,NA,NA,20-25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,This is a cover of a song I have heard before,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11,1
