Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,2,instructions,1,1,NA,NA,NA,NA,15,13-17,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Private,NA,option_3,option_3,option_3,Heard from the radio,NA,option_4,NA,NA,NA,NA,NA,NA,NA,NA,option_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,option_2,,NA,NA,NA,NA,NA,option_1,option_3,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,1,9,NA,NA,NA,NA,NA,15-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Heard on the radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,2,3,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,3,15,NA,NA,NA,NA,14,13-16,NA,NA,NA,NA,NA,1,neither,NA,NA,Just a general memory of my years in late middle school and early high school,NA,neutral,a little,not at all,heard in radio and by other people during middle school,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,somewhat,not at all,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,4,11,NA,NA,NA,NA,11,13-15,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,i just remember my time in middle school.,NA,neutral,a little,a little,second-hand experience with the song,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,not at all,a little,NA,NA,not at all,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,5,21,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,6,20,NA,NA,NA,NA,17,17-19,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,I remember listening to this during the senior year of high school,NA,very positive,very,very,it was from an album I really enjoyed and still enjoy,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,love it!,,NA,NA,NA,NA,NA,not at all,very,NA,NA,very,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,7,12,NA,NA,NA,NA,14,13-15,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Just a general memory of it being replayed by every middle school and early high school girl in my memories,NA,somewhat negative,not at all,very,Heard from radio and from other people,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,extremely,a little,NA,NA,not at all,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,8,7,NA,NA,NA,NA,13,one of my sisters,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,I just remember hearing it from my sister when I was younger,NA,somewhat positive,not at all,somewhat,A song I would hear from my sister,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,a little,somewhat,NA,NA,not at all,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
