internal_id,session,song_id,orig_or_cover,age_at_event,association,control,description,emot_content,emot_intensity,energetic,experience,familiarity,important,preference,social,unique,vivid
1,1,2008_2,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard it a few times in videos or on the radio but never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2008_3,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard the song on the radio and it a few videos online but never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2009_2,cover,NA,I do not associate it with anything,NA,NA,NA,NA,NA,I have heard it over the radio a few times but never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2009_3,cover,NA,I do not associate it with anything,NA,NA,NA,NA,NA,I have heard it over the radio or online during streams but have never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2010_1,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I think I may have heard it once in a video but do not recall what video or if it was even this song,a little,NA,not at all,NA,NA,NA
1,1,2010_2,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2010_3,cover,NA,While I do associate this song with my childhood 2006-2012 I cannot recall if I heard it then or if I associate it because it sounds like songs from that era.,NA,NA,NA,NA,NA,I have heard it a few times over the radio and think I played it in a guitar hero game and have heard in on the internet but have not played it with the intent of listening to it on its own,a little,NA,a little,NA,NA,NA
1,1,2011_1,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2011_2,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard it in videos a couple times but have never played it myself,not at all,NA,not at all,NA,NA,NA
1,1,2011_3,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard it on the radio and in videos but never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2011_4,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I think I may have heard it over the radio once or twice but never played it myself,not at all,NA,not at all,NA,NA,NA
1,1,2012_1,orig,NA,I do not associate with anything,NA,NA,NA,NA,NA,I have heard it over streams and in meme videos but cannot recall anything specific and have not played it myself,a little,NA,not at all,NA,NA,NA
1,1,2012_2,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard it a few times on livestreams and videos but have never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2012_3,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have heard it a few times in videos or livestreams but never played it myself,a little,NA,not at all,NA,NA,NA
1,1,2012_4,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2012_5,orig,NA,I do not associate anything with this song,NA,NA,NA,NA,NA,I have never heard it before,not at all,NA,not at all,NA,NA,NA
1,1,2013_1,cover,20,I do not associate it,completely spontaneous,I was walking alone to one of my first few job interviews.,neutral,not at all,not at all,I have never heard it,not at all,not at all,not at all,not at all,very,not at all
1,1,2013_2,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2013_3,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2013_5,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2013_6,orig,NA,I do not associate anything with it,NA,NA,NA,NA,NA,I have never heard it before,not at all,NA,not at all,NA,NA,NA
1,1,2014_1,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,a little,NA,NA,NA
1,1,2014_2,cover,NA,i do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2014_3,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2014_4,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2014_5,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2015_1,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2015_2,orig,NA,I do not assocaite it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2015_3,orig,NA,I associate this song with the many memes that have been made with it that I have heard over the past 5 years of my life but no particular meme or memory. That is post high-school around ages 19-24.,NA,NA,NA,NA,NA,I have heard it many times in videos and memes over the internet but outside of that I have not played it myself,very,NA,a little,NA,NA,NA
1,1,2015_4,orig,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
1,1,2015_5,cover,NA,I do not associate it,NA,NA,NA,NA,NA,I have never heard it,not at all,NA,not at all,NA,NA,NA
