internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,NaM_orig,NaM_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
1,2008_2,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it a few times in videos or on the radio but never played it myself,I have heard the song on the radio and on the internet multiple times,a little,a little,NA,NA,not at all,a little,NA,NA,NA,NA,NA,NA
1,2008_3,12,NA,around ages 10-15,I do not associate it,completely spontaneous,NA,mem,0,TRUE,FALSE,It maybe remember one of the school dances I attended during junior high.,NA,neutral,NA,not at all,NA,not at all,NA,I have heard the song on radio and on the internet before,I have heard the song on the radio and it a few videos online but never played it myself,a little,a little,not at all,NA,not at all,not at all,very,NA,somewhat,NA,a little,NA
1,2009_2,NA,NA,around age 8-12,I do not associate it with anything,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard the song on radio and online multiple times,I have heard it over the radio a few times but never played it myself,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2009_3,NA,NA,2006-2016,I do not associate it with anything,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it multiple times on the internet,I have heard it over the radio or online during streams but have never played it myself,somewhat,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2010_1,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard the song before but do not remember where,I think I may have heard it once in a video but do not recall what video or if it was even this song,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2010_2,NA,NA,I do not associate it,no asssociation,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,Never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2010_3,NA,NA,young age maybe ages 8-12,While I do associate this song with my childhood 2006-2012 I cannot recall if I heard it then or if I associate it because it sounds like songs from that era.,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it on the radio and internet many times,I have heard it a few times over the radio and think I played it in a guitar hero game and have heard in on the internet but have not played it with the intent of listening to it on its own,somewhat,a little,NA,NA,not at all,a little,NA,NA,NA,NA,NA,NA
1,2011_1,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2011_2,NA,NA,2008-2016,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I have heard the song on the internet before,I have heard it in videos a couple times but have never played it myself,a little,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2011_3,NA,8,I do not associate it,young age around 6-10,NA,completely spontaneous,0,mem,FALSE,TRUE,NA,I was participating in a school run as another song from this era played,NA,somewhat positive,NA,not at all,NA,a little,I have heard it on the radio and in videos but never played it myself,I have heard it before on the radio while being driven to school,a little,a little,NA,not at all,not at all,a little,NA,a little,NA,very,NA,somewhat
