Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked,internal_id
1,block_1,6,post survey,1,1,1,4,"Driving, cleaning the house",31,NA,NA,3,3,2,1,4,1,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA,"Indie Rock, metal, psychedelic",NA,6,1,NA,"As a kid I only listened to Christian music. Now I listen to a lot of indie bands, mainly more psychedelic or art house",I listen mainly while cleaning the house or driving. It’s background music and I listen to the same bands over and over.,3,NA,4,30-60,5,"Took piano lessons age 11-14, stopped and don’t remember much of anything I learned",4,6,NA,2,NA,Spotify,4,NA,,1,2,6,1,option_0,NA,NA,NA,4,NA,yes,NA,NA,2023-02-08T19:06:04Z,597942,group_1,684599,session_1,1,2023-02-08T18:07:54Z,NA,NA,NA,not measured,NA,TRUE,11
1,block_1,6,post survey,1,1,1,5,I play video games,21,NA,NA,1,1,1,1,1,1,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,"Rap, Hip hop, Edm",NA,1,1,NA,I went from dubstep to rap,My listening habits is BabyTron,5,NA,1,30-60,2,I am not a musician,1,4,NA,1,NA,Spotify,2,NA,,3,4,4,1,option_0,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T18:49:37Z,597946,group_1,684603,session_1,1,2023-02-08T18:08:46Z,NA,NA,NA,not measured,NA,TRUE,70
1,block_1,6,post survey,1,1,2,7,"Cleaning, exercising, driving, and just generally chilling.",30,NA,NA,3,3,6,6,2,1,NA,5,3,NA,4,NA,NA,NA,NA,NA,NA,"Metal, Rock, Country",NA,2,NA,NA,Yes,Listening to music less,4,NA,6,2hrs,5,School band 10 - 15. Choir 15 to 18.,2,5,NA,6,NA,Youtube. Spotify,5,NA,,3,3,5,6,option_2,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T18:49:04Z,597947,group_1,684604,session_1,1,2023-02-08T18:09:04Z,NA,NA,NA,not measured,NA,TRUE,32
1,block_1,6,post survey,1,1,2,3,"working, doing any sort of chore around the house, just relaxing, going to the store",24,NA,NA,2,1,1,2,2,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,"pop, rock, showtunes",NA,3,1,NA,"i used to listen to exclusively country music because that's what my dad listens to, then i branched out to pop when taylor swift became a crossover artist, i got into musicals when i started taking choir in middle school, country music started  to kind of fade out of what i was listening to even though pop and showtunes stayed, and then some friends started getting me into rock.","after all those specific branching out points, i've just kind of gotten to the point where i listen to whatever. i don't stick to specific genres by principle like i used to when i was younger, and just listen to whatever i stumble upon that sounds good",2,NA,1,2-3hrs,2,"self-taught pianist from 8 to now (24), was in choir classes in school and an after school choir club from 12-14",3,6,NA,2,NA,Spotify and YouTube,4,NA,,2,2,4,1,option_2,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T19:14:54Z,597953,group_1,684610,session_1,1,2023-02-08T18:12:38Z,NA,NA,NA,not measured,NA,TRUE,15
1,block_1,6,post survey,1,1,1,7,"driving, chores, homework",28,NA,NA,1,1,1,1,1,1,NA,5,3,NA,1,NA,NA,NA,NA,NA,NA,"country, pop, rock",NA,3,1,NA,they hsavent really changed much,NA,1,NA,1,60-90,1,self taught guitar 15-19,1,6,NA,1,NA,"youtube,spotify",4,NA,,1,1,3,1,option_2,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T19:07:58Z,597954,group_1,684611,session_1,1,2023-02-08T18:12:42Z,NA,NA,NA,not measured,NA,TRUE,85
1,block_1,6,post survey,1,1,1,6,Driving or working,31,NA,NA,2,2,1,1,2,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,"Alternative, Pop, Rock",NA,4,3,NA,They have become a bit less mainstream but also involved more pop,A lot of popular music and alternative with some nerdy or humorous music,3,NA,3,2hrs,2,Played in band in elementary and middle school,3,5,NA,1,NA,Spotify,5,NA,,2,3,5,1,option_1,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T19:12:24Z,597956,group_1,684613,session_1,1,2023-02-08T18:13:13Z,NA,NA,NA,not measured,NA,TRUE,61
1,block_1,6,post survey,1,1,2,7,"Anything, basically.",20,NA,NA,1,3,4,2,2,1,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA,"funk, indie, jazz",NA,4,5,NA,I have become more open to other genres.,"I listen to basically anything now, only avoiding country .",4,NA,4,30-60,2,"played piano as a toddler, played trombone in school band from age 10-18",2,4,NA,1,NA,"Spotify, YouTube",4,NA,,2,4,4,2,option_2,NA,NA,NA,4,NA,yes,NA,NA,2023-02-08T19:02:11Z,597970,group_1,684628,session_1,1,2023-02-08T18:23:31Z,NA,NA,NA,not measured,NA,TRUE,74
1,block_1,6,post survey,1,1,3,4,"driving, exercising",31,NA,NA,2,3,1,2,3,1,NA,3,3,NA,4,NA,NA,NA,NA,NA,NA,"Pop, electronic music, country",NA,2,3,NA,none,"they are the same, I like to listen to different types of music",4,NA,4,15-30,2,I liked to play the guitar,3,5,NA,2,NA,"youtube, spotify",5,NA,,3,2,2,3,option_1,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T19:48:41Z,597971,group_1,684629,session_1,1,2023-02-08T18:23:28Z,NA,NA,NA,not measured,NA,TRUE,59
1,block_1,6,post survey,1,1,1,1,"driving, dancing",39,NA,NA,1,1,6,1,1,1,NA,2,3,NA,4,NA,NA,NA,NA,NA,NA,"pop, dance, electronic",NA,1,1,NA,I don't really listen to much music just at the moment and that hasn't changed,I only listen to music casually,2,NA,1,0-15,1,not a musician,1,2,NA,1,NA,youtube,4,NA,,1,1,2,1,option_0,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T19:39:25Z,597978,group_1,684637,session_1,1,2023-02-08T18:35:54Z,NA,NA,NA,not measured,NA,TRUE,76
1,block_1,6,post survey,1,1,2,5,"i like to do all things while listening to music, unless it too requires listening. im almost always listening to music of some kind",31,NA,NA,2,2,6,2,2,1,NA,4,3,NA,3,NA,NA,NA,NA,NA,NA,"alternative, pop, and hip hop",NA,3,3,NA,my listening habits change from day to day,"i listen to a wide variety of music, sometimesi will bounce arounddifferent genres too. i have eclectic taste",4,NA,2,4hrs or more,4,not a musician,1,4,NA,1,NA,"any forms available, usually spotify or youyube",4,NA,,4,4,4,1,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-08T20:24:40Z,598008,group_1,684669,session_1,1,2023-02-08T19:14:55Z,NA,NA,NA,not measured,NA,TRUE,24
