exp_subject_id,song_id,similarity
592370,2018_5,6
592370,2019_2,4
592370,2016_5,3
592370,2018_2,6
592370,2011_3,7
592370,2012_1,5
592370,2019_4,4
592370,2009_3,6
592370,2010_2,7
592370,2008_2,4
592370,2012_4,6
592370,2017_2,5
592370,2016_2,7
592370,2013_5,5
592370,2012_5,5
592370,2018_4,3
592370,2017_4,3
592370,2014_3,3
592370,2019_1,4
592370,2014_2,3
592370,2019_3,3
592370,2017_3,4
592370,2015_3,7
592370,2013_1,4
592370,2017_5,3
592370,2013_3,7
592370,2013_6,5
592370,2015_1,7
592370,2010_3,4
592370,2014_4,3
592370,2016_1,2
592370,2015_4,2
592370,2010_1,2
592370,2015_5,5
592370,2011_2,4
592370,2016_4,4
592370,2015_2,5
592370,2016_3,4
592370,2018_3,7
592370,2014_5,5
592370,2008_3,1
592370,2011_1,2
592370,2012_2,6
592370,2012_3,3
592370,2014_1,5
592370,2017_1,3
592370,2009_2,3
592370,2011_4,1
592370,2013_2,2
592370,2018_1,4
592378,2017_2,6
592378,2013_1,3
592378,2018_5,3
592378,2018_2,5
592378,2012_4,4
592378,2016_5,3
592378,2011_3,6
592378,2016_2,4
592378,2014_2,3
592378,2018_4,6
592378,2009_3,4
592378,2019_1,3
592378,2017_3,4
592378,2013_5,3
592378,2017_5,2
592378,2019_3,1
592378,2010_2,2
592378,2017_4,2
592378,2015_3,4
592378,2014_3,2
592378,2019_2,2
592378,2012_5,3
592378,2019_4,2
592378,2008_2,1
592378,2012_1,3
592378,2013_2,2
592378,2014_1,6
592378,2011_4,1
592378,2013_6,2
592378,2011_1,2
592378,2015_4,1
592378,2016_4,2
592378,2018_1,2
592378,2014_5,2
592378,2015_5,2
592378,2010_1,2
592378,2015_1,6
592378,2014_4,2
592378,2010_3,1
592378,2008_3,1
592378,2013_3,4
592378,2018_3,6
592378,2015_2,6
592378,2009_2,1
592378,2012_3,2
592378,2012_2,2
592378,2017_1,2
592378,2016_1,1
592378,2011_2,1
592378,2016_3,1
592379,2018_5,4
592379,2015_3,6
592379,2019_3,2
592379,2017_2,5
592379,2019_4,3
592379,2017_3,4
592379,2016_2,6
592379,2013_1,2
592379,2010_2,5
592379,2017_4,4
592379,2017_5,2
592379,2013_5,2
592379,2014_2,3
592379,2018_2,5
592379,2014_3,2
592379,2016_5,2
592379,2018_4,3
592379,2009_3,6
592379,2019_1,4
592379,2012_5,5
592379,2008_2,3
592379,2019_2,2
592379,2011_3,4
592379,2012_4,1
592379,2012_1,6
592379,2018_3,6
592379,2012_3,3
592379,2013_3,5
592379,2010_1,1
592379,2016_1,2
592379,2014_1,5
592379,2015_4,4
592379,2015_5,5
592379,2009_2,1
592379,2010_3,3
592379,2011_4,1
592379,2018_1,5
592379,2014_4,2
592379,2011_1,3
592379,2017_1,3
592379,2015_1,6
592379,2016_3,2
592379,2008_3,4
592379,2013_2,5
592379,2012_2,5
592379,2013_6,5
592379,2016_4,3
592379,2015_2,5
592379,2014_5,5
592379,2011_2,2
592383,2014_3,6
592383,2019_2,6
592383,2016_2,6
592383,2008_2,6
592383,2011_3,7
592383,2018_2,7
592383,2017_2,6
592383,2015_3,7
592383,2017_5,6
592383,2017_4,6
592383,2012_4,6
592383,2018_5,6
592383,2013_1,6
592383,2019_3,6
592383,2018_4,6
592383,2016_5,6
592383,2009_3,7
592383,2014_2,6
592383,2017_3,6
592383,2013_5,6
592383,2012_5,6
592383,2019_4,6
592383,2010_2,6
592383,2019_1,6
592383,2012_1,6
592383,2014_4,6
592383,2014_1,6
592383,2016_4,6
592383,2017_1,6
592383,2011_1,6
592383,2008_3,6
592383,2011_4,6
592383,2009_2,6
592383,2015_5,6
592383,2015_1,6
592383,2016_3,6
592383,2010_3,6
592383,2013_2,6
592383,2018_3,6
592383,2015_2,6
592383,2014_5,6
592383,2011_2,6
592383,2013_3,7
592383,2016_1,6
592383,2012_3,6
592383,2015_4,5
592383,2018_1,6
592383,2010_1,6
592383,2012_2,6
592383,2013_6,6
592386,2018_2,5
592386,2019_2,3
592386,2019_1,4
592386,2017_3,3
592386,2019_3,2
592386,2013_5,2
