Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,bluegrass,blues,bossa nova,choral,classical,Condition_Id,country,dance_remix,edm,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,,r_and_b,rap,rock,salsa,self_description,similarity,vintage,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,6,post survey,1,1,2,6,"Driving, Exercising, Cleaning, Working",29,1,1,1,2,1,1,2,3,2,"Pop, Hip Hop, Music Theatre",NA,3,2,NA,I listen to music less now and do not enjoy country music anymore.,NA,4,1,60-90,1,Not a musician,5,4,NA,1,NA,"Radio, Youtube, Apple Music",5,,3,3,3,2,option_1,NA,3,yes,NA,NA,2023-02-01T17:16:43Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,7,"Cook, laundry, clean, playing games etc",27,1,1,1,1,2,1,1,2,2,"Metal, Hip Hop, Pop",NA,1,1,NA,They haven't really. I listen to a lot of different genres and it always depends on the mood I'm in.,I listen to music whenever,2,3,30-60,4,I played trombone from ages 11-17 in school band,1,5,NA,1,NA,Spotify and YouTube,4,,1,2,3,1,option_1,NA,2,yes,NA,NA,2023-02-01T17:24:21Z,592378,group_1,677775,session_1,1,2023-02-01T17:01:19Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,6,"Driving, homework",22,1,2,1,2,2,1,1,4,2,"Pop, rap, dance",NA,2,2,NA,NA,NA,3,2,15-30,1,trained violin age 7-8. trained piano 9-17,1,5,NA,1,NA,apple music,5,,2,4,2,2,option_2,NA,2,yes,NA,NA,2023-02-01T17:23:58Z,592379,group_1,677776,session_1,1,2023-02-01T17:03:33Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,5,"Work, read, knit, cook, I always have my spotify on unless I'm on a zoom call or watching tv.",38,3,2,2,3,5,1,3,3,3,"alternative/indie, rock, classical",NA,5,2,NA,I listen to more classical during work hours.,Since pandora and spotify came out I listen to music almost 24/7.,2,3,4hrs or more,3,"Playing violin & piano since I was 8yo. Currently in church orchestra, still play both, but not professionally.",2,4,NA,2,NA,Spotify,5,,3,2,5,3,option_2,NA,3,yes,NA,NA,2023-02-01T17:38:35Z,592383,group_1,677780,session_1,1,2023-02-01T17:11:40Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"Driving, chores, while showering, etc.",24,3,4,2,4,4,1,1,2,1,"Soundtracks, folk and musical theatre",NA,4,2,NA,"It changes regularly, I will have phases of certain types of music.",NA,2,4,30-60,2,Singer from age 8-18 with some piano training.,4,6,NA,4,NA,Spotify and Youtube.,3,,2,2,4,2,option_1,NA,4,yes,NA,NA,2023-02-01T17:34:21Z,592386,group_1,677783,session_1,1,2023-02-01T17:14:34Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,3,5,"I work, do laundry, or try to change my mood around when I listen to music",38,2,2,2,2,3,1,1,3,2,"Hip Hop, 80's, Classic Rock",NA,2,3,NA,"My music habits haven't changed much over the time, but I might have added some new artist to the rotation after recommendation from friends.",NA,5,2,60-90,3,From 12 to 15 I played trombone while I was in school. I learned how to read sheet music and performed in a number of concerts will my classmates. I also participated in a few parades during my time as a member of the band,3,2,NA,2,NA,Youtube and Spotify are the two options I most use.,5,,4,4,4,2,option_1,NA,3,yes,NA,NA,2023-02-01T17:56:32Z,592390,group_1,677787,session_1,1,2023-02-01T17:18:14Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"driving, walking, laundry, cooking, doing homework",21,2,1,1,2,4,1,2,2,1,"folk/indie, indie pop, classic rock",NA,4,2,NA,As I've gotten older I've branched out and started listening to many different artists across genres,NA,3,2,60-90,1,classically trained violist playing from age 9-18,2,4,NA,1,NA,Spotify,3,,3,3,4,1,option_3,NA,4,yes,NA,NA,2023-02-01T17:45:37Z,592396,group_1,677793,session_1,1,2023-02-01T17:25:38Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,5,"Chores, driving, hanging with friends, work",28,1,1,1,1,3,1,1,1,2,"Pop, rock, musical",NA,3,1,NA,Not really,NA,1,2,60-90,2,Trained pianist from age 9 - 18 Trumpet player from age 10 - 15,4,6,NA,1,NA,"Youtube, Spotify",4,,1,1,4,1,option_2,NA,4,yes,NA,NA,2023-02-01T17:50:28Z,592403,group_1,677800,session_1,1,2023-02-01T17:31:12Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,7,"Driving, exercising",32,1,4,1,1,3,1,2,3,2,"R&B,  blues, hip hop",NA,1,1,NA,It has not changed.,NA,4,3,30-60,3,NA,2,7,NA,2,NA,"Radio, Spotify",3,,4,4,3,2,option_1,NA,1,yes,NA,NA,2023-02-01T17:58:37Z,592404,group_1,677801,session_1,1,2023-02-01T17:32:13Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,7,"driving, coloring, homework, chores",28,3,1,1,1,1,1,4,1,1,"country, pop, rock",NA,2,1,NA,they havent really changed much. I grew up listening to country music and thats still what i mostly listen to,NA,1,1,2-3hrs,1,self taught guitarist (all kinds of music) 21-28,3,5,NA,1,NA,"spotify, youtube",4,,3,1,4,1,option_2,NA,2,yes,NA,NA,2023-02-01T17:57:06Z,592406,group_1,677803,session_1,1,2023-02-01T17:33:29Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,6,"Driving, working at my computer, social gatherings.  Lifting weights.",33,1,1,1,2,1,1,1,4,5,"EDM, Punk rock, Rap",NA,3,1,NA,"I used to just listen to the radio or whatever was popular.  Then I got into a lot of punk rock when I was in middleschool, in Highschool I started to listen to rap more.  After highschool I got into EDM music.  Nowadays I listen to a mix of all three.  I find new artists that spotify recommends or that my friends show me.",NA,3,1,30-60,3,"not a musician, played recorder in elementary school classroom.",1,3,NA,1,NA,"Youtube and Spotify mostly, occasional radio in the car.",3,,1,4,4,1,option_0,NA,1,yes,NA,NA,2023-02-01T17:56:15Z,592408,group_1,677805,session_1,1,2023-02-01T17:34:03Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"washing dishes,  while cooking, driving, folding laundry, any household chore really, during parties",28,2,3,2,2,2,1,2,3,3,Rap Pop Alternative,NA,4,3,NA,"Honestly, not much at all. I listen to the same genres I've always listened to.",NA,4,2,2-3hrs,2,Piano lessons from age 12-14.,3,4,NA,2,NA,Spotify,4,,3,4,3,2,option_0,NA,3,yes,NA,NA,2023-02-01T17:53:46Z,592409,group_1,677806,session_1,1,2023-02-01T17:34:12Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,5,5,"driving, relaxing, exercising, cooking, and cleaning.",28,2,5,2,3,5,1,2,3,4,"Jazz, Pop, Classical",NA,3,4,NA,It hasn't.,n/a,4,5,2hrs,2,"I started playing the violin at the age of 8 as an extracurricular activity. At the time it was okay but I got inspired by Lindsey Stirling. Now, I love the feeling of creating music.",4,4,NA,3,NA,Amazon Music. Radio. Youtube.,5,,5,4,3,2,option_2,NA,1,yes,NA,NA,2023-02-01T18:07:12Z,592412,group_1,677809,session_1,1,2023-02-01T17:35:17Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"driving, hanging out with and without friends, housework, showering, working out, pretty much through any and all activities music is welcomed.",27,1,1,1,1,1,1,3,3,4,"r&b, hip hop, pop",NA,2,2,NA,"somewhat, not drastically. I will listen to one genre more than another, through different periods of time, but will still overall listen to the same music today that I did 10-15 years ago.",NA,5,1,60-90,2,age 15-16 school choir,2,5,NA,1,NA,"spotify, youtube",5,,5,4,3,1,option_1,NA,1,yes,NA,NA,2023-02-01T18:04:35Z,592413,group_1,677810,session_1,1,2023-02-01T17:36:40Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,5,"Lift weights, play games, work.",31,2,2,1,1,1,1,1,1,1,"Metal, old school rap, hip hop",NA,3,3,NA,I have gotten more into old school rap over the years,N.A,4,2,2hrs,5,Self taught acoustic guitar player from age 8-22,1,4,NA,1,NA,Spotify,3,,2,5,5,1,option_2,NA,3,yes,NA,NA,2023-02-01T17:59:13Z,592416,group_1,677813,session_1,1,2023-02-01T17:38:22Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"working, cleaning, commuting",38,2,2,1,3,3,1,1,2,2,"rock, indie, choral",NA,5,2,NA,"move towards streaming platforms, listen to a lot of live performances on YouTube",covered,2,3,60-90,2,I played violin for a few years in elementary school.,2,5,NA,3,NA,spotify,3,,2,2,5,1,option_1,NA,3,yes,NA,NA,2023-02-01T18:03:17Z,592420,group_1,677817,session_1,1,2023-02-01T17:39:33Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,4,6,"driving, laundry, folding clothes, cleaning.",32,2,3,1,1,1,1,4,3,2,Pop Country Hip Hop,NA,3,2,NA,I used to listen to country music and rap way more.,I stick to young pop,3,1,15-30,2,not a musician,3,4,NA,2,NA,spotify,6,,2,2,2,1,option_1,NA,1,yes,NA,NA,2023-02-01T18:00:11Z,592421,group_1,677818,session_1,1,2023-02-01T17:39:48Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,2,6,"Driving , Working , Working out , Cleaning",33,1,3,1,1,1,1,3,3,2,Hip Hop  Funk  Rock,NA,1,3,NA,Listen to a lot more music on the go with my phone and apps.,None,5,3,60-90,2,not a musician,1,6,NA,1,NA,"Apple music , iHeart Radio , Spotify , podcasts",3,,5,5,3,2,option_0,NA,2,yes,NA,NA,2023-02-01T18:13:50Z,592422,group_1,677819,session_1,1,2023-02-01T17:45:39Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,7,"Exercising, working, chores",25,2,1,1,1,2,1,2,2,3,"Metal, Rap, Rock",NA,2,2,NA,Yes,What I listen to often corresponds to what I'm feeling,4,2,2hrs,4,classically trained clarinetist playing from age 13-18,1,5,NA,1,NA,Youtube,3,,3,4,4,1,option_0,NA,1,yes,NA,NA,2023-02-01T18:10:31Z,592423,group_1,677820,session_1,1,2023-02-01T17:40:57Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,6,"work, run",34,3,3,2,1,4,1,1,3,3,"Rap, Folk, Classical",NA,5,3,NA,"They have not really, been pretty much the same 3 genres since highschool, and im 34",pretty much captured it all,5,1,30-60,1,On again off again classical guitar player,1,6,NA,1,NA,Spotify,3,,2,5,4,1,option_2,NA,1,yes,NA,NA,2023-02-01T18:02:12Z,592428,group_1,677825,session_1,1,2023-02-01T17:41:53Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,3,6,driving and folding laundry,33,2,4,1,4,4,1,5,3,2,"hiphop,rnb,gosple",NA,1,2,NA,normal,normal,5,4,15-30,2,played drum when i was 15-17,3,4,NA,NA,NA,Spotify,2,,3,5,3,2,option_0,NA,2,yes,NA,NA,2023-02-01T18:12:43Z,592429,group_1,677826,session_1,1,2023-02-01T17:42:13Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,1,5,"I clean my house, work in the garden, cook dinner, drive my car and hang out with my family, while streaming spotify.",36,4,2,1,1,1,1,4,2,4,"Rock, Country, Folk/Indie",NA,4,2,NA,"Sure, I used to only listen to the radio or to my CD's. We did not have streaming services or smart phones to listen to. I would say that I have always loved listening to music but it is easier now because it can be automated.",I listen to music more now than ever because it is more personalized (instead of radio) and easier.,3,2,2hrs,4,"I was in band in Junior High, where I played the clarinet from age 13 to 15 years old.",1,4,NA,1,NA,I stream through Spotify.,4,,2,3,4,1,option_1,NA,4,yes,NA,NA,2023-02-01T18:04:36Z,592430,group_1,677827,session_1,1,2023-02-01T17:42:37Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,6,post survey,1,1,4,7,"Driving, working, exercising, folding laundry, cleaning, hanging out with friends, any possible place music CAN be... it WILL be.",38,4,4,3,5,4,1,3,5,5,"EDM, choral, Folk/Indie",NA,4,3,NA,"Yes, just a massive broadening of my tastes.","Music is involved in almost every aspect of my life. Now that I have a son, he is learning to love music as a part of his life as well.",4,3,2hrs,3,not a musician but cannot live without music in my life.,2,5,NA,3,NA,Spotify,4,,3,4,4,5,option_1,NA,3,yes,NA,NA,2023-02-01T18:05:06Z,592431,group_1,677828,session_1,1,2023-02-01T17:37:07Z,NA,NA,NA,not measured,NA,TRUE
