participant,age,musician,listen_time,medium,music_making,music_seeking,music_choice,activities,question1.Classical,question1.Disco,question1.Classic.rock,question1.Reggae,question1.A.cappella,question1.Country,question1.Hip.hop,question1.Ambient,question1.Electronic..EDM.,question1.Metal,question1.Alternative.rock,question1.Latin,question1.R.B,question1.Folk.indie,question1.Jazz,question1.Pop,other_genres,genres_ranked.text1,genres_ranked.text2,genres_ranked.text3,habit_change,habits
519625,25,Item 2,Item 5,YOUTUBE,self taught pianist,5,7,exercising,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Always,Sometimes,Rarely,Rarely,Always,rap,Pop,latin,rap,I listen to music more than before,I listen to music everyday. It has become an integral part of life. The constant search for new music and the unending love for existing ones.
798641,29,Item 2,Item 3,"YouTube, Radio",I am not a musician currently. I was in a chorus group for about three years in middle school from ages 12-14.,2,5,"Driving, exercising, cooking",Never,Sometimes,Rarely,Never,Never,Sometimes,Always,Sometimes,Often,Never,Often,Sometimes,Often,Rarely,Rarely,Always,,Hip-Hop,R&B,EDM,I have recently started listening to EDM more. For about the past year now.,"I mostly listen to Hip-hop, R&B, and EDM."
185931,56,Item 2,Item 4,,Loved musicals and music concerts but never played any. ,5,6,"Driving, cleaning, cooking, exercising",Always,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Often,Often,Rarely,Often,Sometimes,Gospel,Gospel,R&B,Jazz,Time of listening has reduced a little bit. ,I don't mind keeping a particular song that hits differently on loop for several minutes. 
298291,34,Item 2,Item 3,Youtube,I am 34 and played the clarinet during ages 10-18.,6,7,House related activies and exercise,Never,Never,Never,Rarely,Rarely,Unsure,Sometimes,Never,Never,Never,Never,Never,Always,Never,Never,Sometimes,none,r&b,pop,hip hop,I sometimes run out of time to listen as much.,
651433,35,Item 4,Item 6,spotify,"play guitar for 12 years, singer from age 10, played saxophone age 11-16",4,6,"working, riding the train, walking, exercise, relaxing, driving",Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Always,Often,Sometimes,Often,Sometimes,Always,"musical theater, pop punk, punk rock",pop punk,pop,alternative rock,"i started to listen to a lot of pop punk/punk rock in high school and i still listen to it now, but i listen to a lot of different types of rock in general. I don't listen to as much hip hop because i don't listen to radio as much or go to clubs like i used to. i don't listen to as much new music all the time as i used to but i still listen to a lot of new stuff, especially pop.","i listen to spotify throughout the day when working, both playlists they create and my own playlists. I like to change up genres and discover new and old music. my favorite songs tend to be rock though and/or have heavy guitar influence."
39938,30,Item 2,Item 5,"Apple Music, Apple car play, YouTube, Radio",Not a musician,3,4,"I do activities such as: cleaning the house, driving, folding clothes, sitting outside, talking a walk, taking a shower, etc while listening to music.",Rarely,Rarely,Rarely,Often,Often,Sometimes,Often,Rarely,Rarely,Never,Sometimes,Sometimes,Always,Rarely,Rarely,Sometimes,,R&B,Hip Hop,Reggae,"I've always listened to a variety of music because of my mother. I still listen to Journey and older R&B and soul groups. Growing up in my day we had MTV and Vh1 music to watch while getting ready for school, so that exposed us to more soft rock and pop artist. In middle school, I strictly listened to country music. Now I still listen to a variety of genres such as Alternative artist Lewis Capaldi. My favorite genre is still R&B. It is my most played playlist the I love to sing along to.","Overall, I feel as though I have an R&B soul, but I love and have been exposed to most if not all genres throughout my life. I was familiar with 90% of the songs played."
775216,30,Item 2,Item 3,Spotify,Violinist thought by classical teacher from ages 12-15 ,3,5,"Driving, exercising, cleaning, working",Rarely,Rarely,Sometimes,Rarely,Rarely,Often,Always,Rarely,Often,Sometimes,Sometimes,Often,Always,Rarely,Never,Often,Rap,Rap,Hip-hip,Latin,"Yes, as I've grown I've expanded the genres of music that I listen to. Before I used to only listen to rap, hip-hop, and r&b, while now I am open to listen to any genre specifically latin and electronic music.","Using Spotify I will listen to my playlist that includes hip-hop, r&b, country, latin, classic rock, and electronic"
101084,35,Item 2,Item 5,"Spotify, YouTube, personal vinyl collection.","Played trumpet from 10-15, played tuba from 14-18, played guitar from 12-18.",4,5,"Driving, doing household tasks, hanging out with friends.",,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Rarely,"Psychedelic rock, IDM, garage rock, blues, punk",Psychedelic rock,Garage rock,Punk,"I seek out lots of different music from different genres for the sake of hearing something new and challenging my own tastes, but also still listen to my rotation of favorites.","I go from listening to all new artists, purposely seeking them out, purposely finding genres I've never heard of from far away countries, oftentimes 100 or more in a week, to going back to my old favorites. Depends on my mood."
673889,34,Item 1,Item 2,Spotify,Not a musician,6,7,"Driving, exercising",Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Always,Never,Never,Rarely,,Hip hop,r&b,Pop,They really haven't,
216748,43,Item 2,Item 6,spotify,not a musician,3,7,"driving, working, cleaning mostly",Sometimes,Never,Often,Rarely,Rarely,Often,Sometimes,Often,Often,Often,Often,Never,Sometimes,Often,Never,Often,None i can think of off the top of my head,alternative,country,indie,they haven't really,
