song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
AChangeIsGonnaCome_SamCooke_Cover5S,0.06032,3203.63,3096.79,20.79,3.1e-4,6390.69,0.06702,-255.00548,127.25842,-49.76292,41.116356,-16.441809,16.942703,-0.9509599,17.433338,8.138583,1.5847102,-0.8853678,-0.8842351,-2.6393259,66,C,0,1,9,0.03393016183673469,0.14560670439090936,0.06790388732653062,0.15646708562987488
AChangeIsGonnaCome_SamCooke_Original5S,0.05561,2393.1,1947.25,20.52,1.2e-4,3549.83,0.04678,-285.97934,170.7787,-31.002607,24.491594,-22.519539,1.3381557,-6.174265,16.129065,3.4822488,-4.41605,-6.387937,1.646422,0.20882577,56,Bb,0,1,12,0.034973499346938774,0.1672194381632797,-0.13865590318367346,0.11472525570130333
AnotherOneBitesTheDust_Queen_Cover5S,0.0527,3265.92,2536.85,18.92,3.5e-4,5349.35,0.04132,-286.49487,146.48947,-14.428488,45.518364,-14.969176,24.5707,3.2675414,12.068582,-2.703907,0.88389444,-0.15454157,0.55681777,3.7910163,77,e,0,1,11,-0.06107175495326531,0.1477160579576795,-0.0976238176122449,0.13289455237927195
AnotherOneBitesTheDust_Queen_Original5S,0.04927,3060.47,2605.73,18.25,0.00124,5270.69,0.05443,-313.39038,125.1735,-19.01325,35.99106,0.7302455,20.839945,-0.7033182,20.070498,-0.87947166,-0.060400166,6.158689,8.871524,2.8824806,112,f,0,1,9,-4.1282844897958594e-4,0.2027973042799456,0.09440857446938776,0.13269115847908175
BadDay_DanielPowter_Cover5S,0.08225,2673.02,1725.16,22.62,5e-5,3061.7,0.02433,-332.47488,157.30728,18.423813,41.88681,5.259736,39.467712,-7.065733,-0.4107693,0.65001535,-10.190515,14.26485,4.832241,0.71550536,120,Eb,1,0,2,-0.08768660232653061,0.18969776321529272,-0.2079854586122449,0.08145348315369624
BadDay_DanielPowter_Original5S,0.08121,2355.91,2082.89,21.31,1.5e-4,3793.81,0.05232,-225.66232,184.15518,-42.62534,27.283014,-21.804144,12.226672,-21.262205,-3.7814016,-1.8201653,-4.111015,-8.102428,-5.9327226,-0.6162747,140,Eb,0,1,1,-0.06946835441666667,0.1728122480975283,-0.12915761602083334,0.12455544285093144
BetteDavisEyes_KimCarnes_Cover5S,0.05574,3672.57,3069.87,22.25,4.9e-4,6531.95,0.05169,-330.12387,105.279945,-0.25113237,50.043182,2.1303968,26.527348,-9.9140005,19.253092,-0.66448456,1.5056807,-2.790075,3.6264114,-8.38151,122,F,1,0,2,-0.0016879004999999967,0.15000435561574382,-0.10736272304166666,0.14385378012911834
BetteDavisEyes_KimCarnes_Original5S,0.04197,3095.77,2705.1,20.86,4.9e-4,5523.27,0.05872,-277.68115,137.13354,-24.6869,40.373947,1.8132888,21.303177,-7.7032585,10.316033,4.4285336,7.194139,4.3158712,6.549199,-2.4167368,116,F,1,0,9,0.009028006387755102,0.1849625895472239,-0.04897117118367348,0.15089391545608422
BlindingLights_TheWeeknd_Cover5S,0.03261,3841.78,3819.29,20.24,7.3e-4,7984.43,0.08093,-286.17548,116.52666,-39.1874,57.242558,-12.620439,29.737522,-17.583235,15.887228,-4.9866147,9.062897,1.3732389,5.30927,9.488877,176,c,0,1,5,0.09483483714285713,0.14572046008443254,0.06927557712244897,0.14164180008841237
BlindingLights_TheWeeknd_Original5S,0.08842,3050.11,2597,19.29,1.5e-4,5363.75,0.04802,-205.59747,146.87436,-41.86591,54.24151,-9.612969,17.717106,-1.9772661,13.623612,7.70598,3.7333941,6.609971,10.598614,11.016625,173,c,0,1,1,0.11200139987499999,0.16462686406543048,0.1672893593125,0.11764994347870786
BlurredLines_RobinThicke_Cover5S,0.11961,3844.09,3873.44,21.21,0.01954,8148.16,0.0891,-171.61652,103.0664,-21.676857,55.33352,-12.556441,21.630713,-20.606821,22.084251,-6.666242,12.590693,2.9314506,3.5717385,-6.9448357,117,G,1,0,1,0.140282257122449,0.1342554223104007,0.11434218065306123,0.14721734389749577
