participant,welcome.started,welcome.stopped,space_to_continue.rt,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.rt,calibration.started,calibration.stopped,move_on.rt,instructions.started,instructions.stopped,next.rt,practice_trial.started,practice_trial.stopped,practice_slider.rt,ready.started,ready.stopped,key_resp.rt,play_sound.started,play_sound.stopped,rating.started,rating.stopped,slider.rt,short_break.started,short_break.stopped,space_to_move_on.rt,goodbye.started,goodbye.stopped
910590,0.0131,2.3541,2.3045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,28.6912,28.6918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,28.6994,34.6583,5.9237,34.6586,81.0539,36.3369,81.0546,93.6574,12.5503,93.6582,117.4062,23.7241,117.4067,121.0594,3.6238,121.1355,127.3068,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.3238,133.6249,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.6433,135.3707,1.7212,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.3748,142.2309,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.2469,147.8767,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.877,149.3262,1.4273,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.3282,155.4545,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.4723,161.3536,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.3538,164.8031,3.4285,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8088,170.7814,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.8014,176.8984,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.8987,185.3962,8.4775,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.3988,193.7153,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.7318,202.6198,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.6201,203.6809,1.0383,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.6831,210.2218,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.2402,217.6233,NA,NA,NA,NA,NA,NA,NA,NA
910590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.6237,226.1175,8.4749,NA,NA,NA,NA,NA
