Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63da9cd5c1d43edde4df0fc4,,APPROVED,2023-02-01T17:11:42.433000Z,2023-02-01T17:40:21.527000Z,2023-02-01T23:00:18.562000Z,2023-02-01T17:40:22.291698Z,1720,C1N7CCIB,419,30,Female,White,United States,United States,United States,English,No,Full-Time,
63da9e1f921343a2725a8bed,,APPROVED,2023-02-01T17:15:14.408000Z,2023-02-01T17:43:45.752000Z,2023-02-01T23:00:18.684000Z,2023-02-01T17:43:46.217332Z,1712,C1N7CCIB,3,34,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63da9f5811eb71d914f997e8,,APPROVED,2023-02-01T17:20:29.732000Z,2023-02-01T17:59:33.328000Z,2023-02-01T23:00:18.804000Z,2023-02-01T17:59:37.275263Z,2344,C1N7CCIB,429,26,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63daa0628a5d9097c18a3bea,,APPROVED,2023-02-01T17:24:53.886000Z,2023-02-01T17:54:41.226000Z,2023-02-01T23:00:18.925000Z,2023-02-01T17:54:41.536189Z,1788,C1N7CCIB,4,22,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63daa0b62e8945639846617c,,APPROVED,2023-02-01T17:26:20.869000Z,2023-02-01T18:13:05.935000Z,2023-02-01T23:00:19.045000Z,2023-02-01T18:13:06.312526Z,2806,C1N7CCIB,282,37,Male,White,United States,United States,United States,English,No,Full-Time,
63daa1886f5c81184872bb8f,,APPROVED,2023-02-01T17:29:47.707000Z,2023-02-01T17:56:41.064000Z,2023-02-01T23:00:19.161000Z,2023-02-01T17:56:41.533561Z,1614,C1N7CCIB,1806,29,Male,White,United States,United States,United States,English,No,Full-Time,
63daa2cc726e764fb8105244,,APPROVED,2023-02-01T17:35:11.599000Z,2023-02-01T18:38:49.328000Z,2023-02-01T23:00:19.279000Z,2023-02-01T18:38:49.766965Z,3818,C1N7CCIB,1497,28,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa2d57e782b9c5238e4a5,,APPROVED,2023-02-01T17:35:21.442000Z,2023-02-01T18:02:51.060000Z,2023-02-01T23:00:19.399000Z,2023-02-01T18:02:51.435846Z,1650,C1N7CCIB,985,39,Male,White,United States,United States,United States,English,No,Full-Time,
63daa2ee6f35b864e74a1ba9,,APPROVED,2023-02-01T17:35:48.941000Z,2023-02-01T18:23:13.231000Z,2023-02-01T23:00:19.519000Z,2023-02-01T18:23:13.929840Z,2845,C1N7CCIB,766,31,Female,White,United States,United States,United States,English,No,Full-Time,
63daa341e5886550dd981fb9,,APPROVED,2023-02-01T17:38:12.776000Z,2023-02-01T18:10:58.429000Z,2023-02-01T23:00:19.642000Z,2023-02-01T18:10:59.667828Z,1966,C1N7CCIB,404,23,Female,White,United States,United States,United States,English,Yes,Full-Time,
63daa35b333b39f068511f50,,APPROVED,2023-02-01T17:37:39.266000Z,2023-02-01T18:03:09.062000Z,2023-02-01T23:00:19.761000Z,2023-02-01T18:03:09.489679Z,1530,C1N7CCIB,1479,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa36d69c4859668fe1c2d,,APPROVED,2023-02-01T17:37:49.118000Z,2023-02-01T18:27:17.064000Z,2023-02-01T23:00:19.886000Z,2023-02-01T18:27:17.547062Z,2968,C1N7CCIB,1311,32,Female,White,United States,United States,United States,English,No,Part-Time,
63daa3bd7dfcd608e15edf47,,APPROVED,2023-02-01T17:39:12.849000Z,2023-02-01T18:11:09.699000Z,2023-02-01T23:00:20.004000Z,2023-02-01T18:11:10.051745Z,1917,C1N7CCIB,1278,38,Female,White,United States,United States,United States,English,No,Full-Time,
63daa3fd85af7356590fd34d,,APPROVED,2023-02-01T17:40:32.837000Z,2023-02-01T18:19:15.812000Z,2023-02-01T23:00:20.119000Z,2023-02-01T18:19:16.337822Z,2323,C1N7CCIB,527,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa429ea29630e1c981fe3,,APPROVED,2023-02-01T17:41:00.580000Z,2023-02-01T18:13:05.802000Z,2023-02-01T23:00:20.239000Z,2023-02-01T18:13:08.516197Z,1926,C1N7CCIB,876,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa4a4bd16f3dc84787052,,APPROVED,2023-02-01T17:43:03.975000Z,2023-02-01T18:13:28.932000Z,2023-02-01T23:00:20.357000Z,2023-02-01T18:13:29.273598Z,1825,C1N7CCIB,958,37,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63daa4bba5f99b12e23e419f,,APPROVED,2023-02-01T17:44:34.761000Z,2023-02-01T18:24:54.925000Z,2023-02-01T23:00:20.473000Z,2023-02-01T18:24:56.130801Z,2421,C1N7CCIB,0,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
63daa4e9c2bf4a1dc35edf59,,APPROVED,2023-02-01T17:44:20.261000Z,2023-02-01T18:33:30.545000Z,2023-02-01T23:00:20.586000Z,2023-02-01T18:33:31.008993Z,2951,C1N7CCIB,397,21,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa51a9b84e56434ce7177,,APPROVED,2023-02-01T17:45:01.461000Z,2023-02-01T18:57:49.368000Z,2023-02-01T23:00:20.702000Z,2023-02-01T18:57:49.762631Z,4368,C1N7CCIB,2089,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa575b27a8cd334fe1c83,,APPROVED,2023-02-01T17:46:37.958000Z,2023-02-01T19:39:07.737000Z,2023-02-01T23:00:20.817000Z,2023-02-01T19:39:10.088502Z,6750,C1N7CCIB,1521,32,Male,Black,United States,United States,United States,English,No,Full-Time,
63daa5ee96689cf40f5c00c3,,APPROVED,2023-02-01T17:48:33.191000Z,2023-02-01T18:17:23.905000Z,2023-02-01T23:00:20.933000Z,2023-02-01T18:17:26.148510Z,1731,C1N7CCIB,1806,35,Female,White,United States,United States,United States,English,No,Full-Time,
63daa6365c099ef72c7179c7,,APPROVED,2023-02-01T17:49:45.828000Z,2023-02-01T18:20:39.572000Z,2023-02-01T23:00:21.052000Z,2023-02-01T18:20:39.909219Z,1854,C1N7CCIB,489,30,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa65c2538400149d44cc0,,APPROVED,2023-02-01T17:50:23.280000Z,2023-02-01T18:59:32.208000Z,2023-02-01T23:00:21.171000Z,2023-02-01T18:59:32.536992Z,4149,C1N7CCIB,855,22,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa66c84df96c8a5d1b29b,,APPROVED,2023-02-01T17:50:55.554000Z,2023-02-01T18:31:04.279000Z,2023-02-01T23:00:21.288000Z,2023-02-01T18:31:04.742877Z,2409,C1N7CCIB,10,37,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa6fe2778284066557ac8,,APPROVED,2023-02-01T17:53:11.978000Z,2023-02-01T18:19:26.375000Z,2023-02-01T23:00:21.401000Z,2023-02-01T18:19:26.830846Z,1575,C1N7CCIB,2571,32,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa78b216a4a87b9d309a4,,APPROVED,2023-02-01T17:55:26.183000Z,2023-02-01T18:20:16.959000Z,2023-02-01T23:00:21.515000Z,2023-02-01T18:20:17.317316Z,1491,C1N7CCIB,859,28,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa7abba78ad3bee717959,,APPROVED,2023-02-01T17:56:25.174000Z,2023-02-01T18:42:16.575000Z,2023-02-01T23:00:21.633000Z,2023-02-01T18:42:16.965511Z,2752,C1N7CCIB,2802,36,Male,Asian,United States,United States,United States,English,No,Full-Time,
63daa7cfcf231da648907d05,,APPROVED,2023-02-01T17:56:35.113000Z,2023-02-01T18:31:53.067000Z,2023-02-01T23:00:21.749000Z,2023-02-01T18:31:53.559922Z,2118,C1N7CCIB,889,36,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa7ef5df1a9e2b0525b90,,APPROVED,2023-02-01T17:57:07.691000Z,2023-02-01T18:43:11.400000Z,2023-02-01T23:00:21.871000Z,2023-02-01T18:43:11.819477Z,2764,C1N7CCIB,4,33,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
63daa824b4e9f17a8198c3a1,,APPROVED,2023-02-01T17:57:59.883000Z,2023-02-01T18:47:17.834000Z,2023-02-01T23:00:21.987000Z,2023-02-01T18:47:18.259208Z,2958,C1N7CCIB,3083,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa825216a4a87b9d309b6,,APPROVED,2023-02-01T17:58:57.683000Z,2023-02-01T18:26:58.584000Z,2023-02-01T23:00:22.110000Z,2023-02-01T18:26:59.061434Z,1681,C1N7CCIB,1001,24,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa833d24953b646ce7170,,APPROVED,2023-02-01T17:58:40.818000Z,2023-02-01T18:37:48.396000Z,2023-02-01T23:00:22.232000Z,2023-02-01T18:37:48.781324Z,2348,C1N7CCIB,717,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa8352e0e2917edb2d645,,APPROVED,2023-02-01T17:58:18.168000Z,2023-02-01T18:27:02.259000Z,2023-02-01T23:00:22.353000Z,2023-02-01T18:27:02.590218Z,1725,C1N7CCIB,510,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa837a4a8765f91bfa60f,,APPROVED,2023-02-01T17:58:15.579000Z,2023-02-01T18:31:17.823000Z,2023-02-01T23:00:22.474000Z,2023-02-01T18:31:18.184526Z,1983,C1N7CCIB,1937,26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa8540b1776ec810fd3ba,,APPROVED,2023-02-01T17:58:45.948000Z,2023-02-01T18:23:53.356000Z,2023-02-01T23:00:22.587000Z,2023-02-01T18:23:53.777684Z,1508,C1N7CCIB,3093,30,Female,White,United States,United States,United States,English,No,Full-Time,
63daa87c139d63d39a19fdea,,APPROVED,2023-02-01T18:05:43.050000Z,2023-02-01T18:55:57.482000Z,2023-02-01T23:00:22.704000Z,2023-02-01T18:55:57.969240Z,3015,C1N7CCIB,2056,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa8922605c4493cd30987,,APPROVED,2023-02-01T18:00:02.798000Z,2023-02-01T18:31:24.110000Z,2023-02-01T23:00:22.817000Z,2023-02-01T18:31:24.468093Z,1882,C1N7CCIB,3560,32,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa8d00efd4d7788787034,,APPROVED,2023-02-01T18:00:54.360000Z,2023-02-01T18:33:44.872000Z,2023-02-01T23:00:22.937000Z,2023-02-01T18:33:46.556148Z,1971,C1N7CCIB,438,32,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa8df2e055124f1138ee6,,APPROVED,2023-02-01T18:01:09.065000Z,2023-02-01T18:33:53.225000Z,2023-02-01T23:00:23.062000Z,2023-02-01T18:33:53.665861Z,1965,C1N7CCIB,1686,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa8e55df1a9e2b0525bbd,,APPROVED,2023-02-01T18:01:16.630000Z,2023-02-01T18:33:37.753000Z,2023-02-01T23:00:23.197000Z,2023-02-01T18:33:38.272649Z,1942,C1N7CCIB,280,33,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa915112b6f438d4ad330,,APPROVED,2023-02-01T18:01:56.990000Z,2023-02-01T18:28:37.999000Z,2023-02-01T23:00:23.325000Z,2023-02-01T18:28:38.362311Z,1602,C1N7CCIB,853,24,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
63daa915780d8101357a108c,,APPROVED,2023-02-01T18:05:56.882000Z,2023-02-01T18:07:41.068000Z,2023-02-02T19:56:35.170000Z,2023-02-01T18:07:41.481386Z,105,C1N7CCIB,446,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63daa9222605c4493cd309a3,,APPROVED,2023-02-01T18:02:31.661000Z,2023-02-01T18:40:32.557000Z,2023-02-01T23:00:23.443000Z,2023-02-01T18:40:32.910834Z,2281,C1N7CCIB,131,27,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa938dd336bbbc634f752,,APPROVED,2023-02-01T18:02:32.042000Z,2023-02-01T18:29:30.045000Z,2023-02-01T23:00:23.564000Z,2023-02-01T18:29:31.004722Z,1619,C1N7CCIB,206,31,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63daa94b899d594bb2c37f5b,,APPROVED,2023-02-01T18:02:54.630000Z,2023-02-01T18:33:26.514000Z,2023-02-01T23:00:23.680000Z,2023-02-01T18:33:26.938399Z,1832,C1N7CCIB,3169,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa97d9ab8a1f93332c1b2,,APPROVED,2023-02-01T18:03:43.160000Z,2023-02-01T18:50:30.858000Z,2023-02-01T23:00:23.803000Z,2023-02-01T18:50:31.536810Z,2808,C1N7CCIB,598,24,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63daa9887e36007e972e8c62,,APPROVED,2023-02-01T18:03:59.304000Z,2023-02-01T19:13:28.634000Z,2023-02-01T23:00:23.924000Z,2023-02-01T19:13:29.310013Z,4170,C1N7CCIB,640,35,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking),
63daa9b91e5dcd8d75bfa619,,APPROVED,2023-02-01T18:09:56.725000Z,2023-02-01T19:03:22.229000Z,2023-02-01T23:00:24.044000Z,2023-02-01T19:03:22.581245Z,3206,C1N7CCIB,295,37,Male,White,United States,United States,United States,English,No,Other,
63daaa8f06598722c4e7efe4,,APPROVED,2023-02-01T18:11:23.291000Z,2023-02-01T18:56:18.221000Z,2023-02-01T23:00:24.163000Z,2023-02-01T18:56:18.589863Z,2695,C1N7CCIB,2013,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63dabab2663b3d49fbfe1cb9,,APPROVED,2023-02-01T19:17:06.667000Z,2023-02-01T19:46:12.719000Z,2023-02-01T23:00:24.289000Z,2023-02-01T19:46:13.237812Z,1747,C1N7CCIB,319,36,Male,Asian,India,United States,United States,English,No,Other,
63daa2730681d842087e7283,,RETURNED,2023-02-01T17:33:43.377000Z,,,,,,1507,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63daa55b6e7c0004e82c814f,,RETURNED,2023-02-01T17:46:20.519000Z,,,,,,543,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63daa75a829f06598163681a,,RETURNED,2023-02-01T17:54:34.963000Z,,,,,,1575,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63daa77e7f693a422c32c1d3,,RETURNED,2023-02-01T17:55:15.671000Z,,,,,,3916,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63daa90799ee6aaf64709d0e,,RETURNED,2023-02-01T18:02:21.671000Z,,,,,,1455,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
