Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63f66c70931110039fb908cb,,APPROVED,2023-02-22T19:26:50.534000Z,2023-02-22T20:44:38.102000Z,2023-02-22T20:59:53.818000Z,2023-02-22T20:44:38.461708Z,4668,CQXVLPYN,149,25,Male,Asian,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f66c931832b29f14bff7b2,,APPROVED,2023-02-22T19:27:21.718000Z,2023-02-22T20:27:05.214000Z,2023-02-22T20:38:51.890000Z,2023-02-22T20:27:05.611945Z,3584,CQXVLPYN,4390,35,Male,White,United States,United States,United States,English,No,Full-Time,
63f66cafe1b2cc2db5fe61e5,,APPROVED,2023-02-22T19:29:26.186000Z,2023-02-22T20:18:24.210000Z,2023-02-22T20:26:17.050000Z,2023-02-22T20:18:24.643713Z,2939,CQXVLPYN,2705,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f66cc395f89e0c2ac82f09,,APPROVED,2023-02-22T19:28:51.406000Z,2023-02-22T20:03:13.781000Z,2023-02-22T20:10:33.089000Z,2023-02-22T20:03:14.755477Z,2063,CQXVLPYN,1852,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
63f66ccb9c231c87ab41a667,,APPROVED,2023-02-22T19:36:22.255000Z,2023-02-22T21:44:28.033000Z,2023-02-22T23:23:33.293000Z,2023-02-22T21:44:28.462434Z,7686,CQXVLPYN,3317,37,Male,White,United States,United States,United States,English,No,Full-Time,
63f66cd42b9db02f9805164b,,APPROVED,2023-02-22T19:28:24.066000Z,2023-02-22T21:16:30.253000Z,2023-02-22T23:23:33.397000Z,2023-02-22T21:16:31.483925Z,6487,CQXVLPYN,366,30,Female,White,United States,United States,United States,English,No,Full-Time,
63f66cd95f0b269f5781f255,,APPROVED,2023-02-22T19:30:04.454000Z,2023-02-22T20:17:20.369000Z,2023-02-22T20:25:32.212000Z,2023-02-22T20:17:41.179710Z,2836,CQXVLPYN,219,37,Male,Mixed,United States,United States,United States,English,No,Full-Time,
63f66d17dd119a25f481f275,,APPROVED,2023-02-22T19:29:27.977000Z,2023-02-22T20:34:09.264000Z,2023-02-22T20:37:40.146000Z,2023-02-22T20:34:09.646385Z,3882,CQXVLPYN,2357,30,Male,White,United States,United States,United States,English,No,Other,
63f66d5f7804be115cd4ae55,,APPROVED,2023-02-22T19:30:39.231000Z,2023-02-22T21:27:42.773000Z,2023-02-22T23:23:33.504000Z,2023-02-22T21:27:43.189039Z,7024,CQXVLPYN,191,33,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,
63f66dab2bd08c6b39689775,,APPROVED,2023-02-22T19:31:59.455000Z,2023-02-22T20:54:38.739000Z,2023-02-22T21:01:25.294000Z,2023-02-22T20:54:39.088423Z,4960,CQXVLPYN,2908,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f66f664a2f11721f507aa9,,APPROVED,2023-02-22T19:39:22.059000Z,2023-02-22T21:18:18.854000Z,2023-02-22T23:23:33.621000Z,2023-02-22T21:18:20.371275Z,5937,CQXVLPYN,27,30,Male,White,United States,United States,United States,English,No,Full-Time,
63f66f8e1d746f7068600361,,APPROVED,2023-02-22T19:39:58.056000Z,2023-02-22T20:55:06.798000Z,2023-02-22T21:02:10.882000Z,2023-02-22T20:55:07.138764Z,4509,CQXVLPYN,630,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f67041619d67aee6dfc42b,,APPROVED,2023-02-22T19:43:00.178000Z,2023-02-22T21:39:11.074000Z,2023-02-22T23:23:33.734000Z,2023-02-22T21:39:11.439089Z,6971,NOCODE,1086,23,Female,White,United States,United States,United States,English,No,Part-Time,
63f670bedb984ee8d6bf84f2,,APPROVED,2023-02-22T19:45:02.958000Z,2023-02-22T20:26:02.490000Z,2023-02-22T20:27:11.096000Z,2023-02-22T20:26:02.890210Z,2460,CQXVLPYN,1053,30,DATA_EXPIRED,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f670cf65f08ba21da604e1,,APPROVED,2023-02-22T19:45:21.414000Z,2023-02-22T20:59:09.280000Z,2023-02-22T21:03:56.802000Z,2023-02-22T20:59:09.678347Z,4428,CQXVLPYN,418,23,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f672ebbb2d5a69a7e08116,,APPROVED,2023-02-22T19:54:24.317000Z,2023-02-22T20:53:38.055000Z,2023-02-22T21:02:51.690000Z,2023-02-22T20:53:38.548000Z,3554,CQXVLPYN,1075,31,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f67899ac4940d96d8313fc,,APPROVED,2023-02-22T20:21:25.328000Z,2023-02-22T21:23:34.931000Z,2023-02-22T23:23:33.841000Z,2023-02-22T21:23:35.283337Z,3730,CQXVLPYN,1301,24,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f679ef7bd71c5886e2f7b1,,APPROVED,2023-02-22T20:24:18.394000Z,2023-02-22T21:22:43.127000Z,2023-02-22T23:23:33.950000Z,2023-02-22T21:22:43.444874Z,3505,CQXVLPYN,741,34,Female,White,United States,United States,United States,English,No,Full-Time,
63f67a6882e0cbe3e4afcabe,,APPROVED,2023-02-22T20:26:20.224000Z,2023-02-22T21:17:49.427000Z,2023-02-22T23:23:34.056000Z,2023-02-22T21:17:49.837561Z,3090,CQXVLPYN,385,19,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f67e129f68eeb2a441a6bb,,APPROVED,2023-02-22T20:42:01.515000Z,2023-02-22T22:03:43.121000Z,2023-02-22T23:23:34.162000Z,2023-02-22T22:03:43.513756Z,4902,CQXVLPYN,2569,31,Female,White,"Venezuela, Bolivarian Republic of",United States,United States,English,No,Part-Time,
63f67e4a1822bca8c46ab0a3,,APPROVED,2023-02-22T20:44:04.073000Z,2023-02-22T21:22:35.847000Z,2023-02-22T23:23:34.267000Z,2023-02-22T21:22:36.153345Z,2312,CQXVLPYN,1481,35,Male,White,United States,United States,United States,English,No,Full-Time,
63f67fc50252f9bc0958b33f,,APPROVED,2023-02-22T20:49:13.309000Z,2023-02-22T21:55:53.183000Z,2023-02-22T23:23:34.725000Z,2023-02-22T21:55:54.257218Z,4000,CQXVLPYN,467,23,Female,White,United States,United States,United States,English,No,Full-Time,
63f6808ab13eaae1d44cca06,,APPROVED,2023-02-22T20:52:31.426000Z,2023-02-22T21:50:36.015000Z,2023-02-22T23:23:34.827000Z,2023-02-22T21:50:36.397274Z,3485,CQXVLPYN,593,31,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),
63f68090562944e6ebf09bf7,,APPROVED,2023-02-22T20:52:36.340000Z,2023-02-22T21:33:23.955000Z,2023-02-22T23:23:34.931000Z,2023-02-22T21:33:24.380642Z,2448,CQXVLPYN,1284,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f6819037617bbee241a67c,,APPROVED,2023-02-22T20:56:51.979000Z,2023-02-22T21:56:33.285000Z,2023-02-22T23:23:35.033000Z,2023-02-22T21:56:33.669066Z,3582,CQXVLPYN,214,25,Male,Asian,United States,United States,United States,English,Yes,Part-Time,
63f6828bb0c1a5013399baed,,APPROVED,2023-02-22T21:01:02.712000Z,2023-02-22T21:46:36.106000Z,2023-02-22T23:23:35.133000Z,2023-02-22T21:46:36.520100Z,2734,CQXVLPYN,2107,21,Female,White,United States,United States,United States,English,Yes,Part-Time,
63f685e09234d0aed30f0e8e,,APPROVED,2023-02-22T21:15:22.752000Z,2023-02-22T22:44:05.987000Z,2023-02-22T23:23:35.240000Z,2023-02-22T22:44:06.377070Z,5324,CQXVLPYN,319,39,Male,White,United States,United States,United States,English,No,Full-Time,
63f687dd2b683a30c6b11770,,APPROVED,2023-02-22T21:23:59.660000Z,2023-02-22T22:17:03.254000Z,2023-02-22T23:23:35.340000Z,2023-02-22T22:17:03.576420Z,3184,CQXVLPYN,607,34,Female,White,United States,United States,United States,English,No,Part-Time,
63f6881fa9d97f1701b3bd76,,APPROVED,2023-02-22T21:24:52.133000Z,2023-02-22T22:21:30.817000Z,2023-02-22T23:23:35.444000Z,2023-02-22T22:21:31.210844Z,3399,CQXVLPYN,3074,34,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f68a5d576aa5c6d723a033,,APPROVED,2023-02-22T21:39:27.419000Z,2023-02-22T23:59:37.185000Z,2023-02-23T03:04:57.191000Z,2023-02-22T23:59:37.588049Z,8410,CQXVLPYN,1255,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63f68ceefd1d5f194040e4be,,APPROVED,2023-02-22T21:45:22.179000Z,2023-02-22T23:17:15.036000Z,2023-02-22T23:23:35.546000Z,2023-02-22T23:17:15.553642Z,5513,CQXVLPYN,800,25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63f68d773a0535ca81bf850b,,APPROVED,2023-02-22T21:47:40.335000Z,2023-02-22T22:18:57.520000Z,2023-02-22T23:23:35.656000Z,2023-02-22T22:18:57.891615Z,1878,CQXVLPYN,75,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63f68db62b2283d79f3bff9f,,APPROVED,2023-02-22T21:49:04.301000Z,2023-02-22T22:25:09.842000Z,2023-02-22T23:23:35.757000Z,2023-02-22T22:25:10.214650Z,2166,CQXVLPYN,500,20,Female,Other,United States,United States,United States,English,Yes,DATA_EXPIRED,
63f68e8f6ee1e47f6c507af7,,APPROVED,2023-02-22T21:52:20.520000Z,2023-02-22T22:45:37.648000Z,2023-02-22T23:23:35.873000Z,2023-02-22T22:45:38.067796Z,3198,CQXVLPYN,56,21,Prefer not to say,Mixed,United States,United States,United States,English,Yes,Other,
63f68f52084c1465c96a9546,,APPROVED,2023-02-22T22:01:31.210000Z,2023-02-22T23:44:44.645000Z,2023-02-23T03:04:57.301000Z,2023-02-22T23:44:45.050496Z,6194,CQXVLPYN,1522,39,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,
63f68f76b0e60e8488d4ae5d,,APPROVED,2023-02-22T21:56:15.337000Z,2023-02-22T23:38:47.515000Z,2023-02-23T03:04:57.405000Z,2023-02-22T23:38:47.877685Z,6153,CQXVLPYN,487,29,Female,Black,Ghana,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f69068b2490887e597931f,,APPROVED,2023-02-22T22:02:07.420000Z,2023-02-22T23:08:29.930000Z,2023-02-22T23:23:35.990000Z,2023-02-22T23:08:30.298324Z,3983,CQXVLPYN,1464,27,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
63f69269b8348c15d4309c31,,APPROVED,2023-02-22T22:16:30.097000Z,2023-02-23T00:35:33.117000Z,2023-02-23T03:04:57.509000Z,2023-02-23T00:35:33.460701Z,8344,CQXVLPYN,605,27,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63f698b44632c29552aba34d,,APPROVED,2023-02-22T22:35:32.608000Z,2023-02-22T23:39:40.738000Z,2023-02-23T03:04:57.618000Z,2023-02-22T23:39:41.107967Z,3849,CQXVLPYN,2190,28,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f698c66c9fec869c19a775,,APPROVED,2023-02-22T22:36:05.616000Z,2023-02-23T00:47:07.167000Z,2023-02-23T03:04:57.724000Z,2023-02-23T00:47:10.334429Z,7862,CQXVLPYN,104,35,Female,White,United States,United States,United States,English,No,Full-Time,
63f69d2a672ef7c9757ec6f1,,APPROVED,2023-02-22T22:54:38.895000Z,2023-02-23T00:08:40.325000Z,2023-02-23T03:04:57.823000Z,2023-02-23T00:08:41.890971Z,4442,CQXVLPYN,2133,30,Female,White,United States,United States,United States,English,Yes,Full-Time,
63f6a75965b207bb55bf84ea,,APPROVED,2023-02-22T23:38:05.641000Z,2023-02-23T01:15:49.114000Z,2023-02-23T03:04:57.921000Z,2023-02-23T01:15:49.444881Z,5864,CQXVLPYN,776,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63f6aafbb19c39fca42ed501,,APPROVED,2023-02-22T23:56:32.510000Z,2023-02-23T00:31:27.871000Z,2023-02-23T03:04:58.022000Z,2023-02-23T00:31:28.231929Z,2096,CQXVLPYN,4802,35,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f6af273a1ead4448738a64,,APPROVED,2023-02-23T00:13:59.412000Z,2023-02-23T02:13:24.901000Z,2023-02-23T03:04:58.130000Z,2023-02-23T02:13:25.437615Z,7166,CQXVLPYN,690,32,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,
63f6b1cad3465df1016dccbf,,APPROVED,2023-02-23T00:22:41.413000Z,2023-02-23T01:39:27.232000Z,2023-02-23T03:04:58.235000Z,2023-02-23T01:39:27.648072Z,4606,CQXVLPYN,330,33,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,
63f6bd963dcc8431f9e2f7cf,,APPROVED,2023-02-23T01:13:15.016000Z,2023-02-23T02:24:43.132000Z,2023-02-23T03:04:58.340000Z,2023-02-23T02:24:43.548396Z,4289,CQXVLPYN,445,29,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
63f6c3caef1b8febf67ec6d2,,APPROVED,2023-02-23T01:39:29.274000Z,2023-02-23T03:18:30.500000Z,2023-02-23T13:37:42.559000Z,2023-02-23T03:18:30.844207Z,5942,CQXVLPYN,2249,35,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,
63f6ca23f81fd893c07ec6db,,APPROVED,2023-02-23T02:06:40.150000Z,2023-02-23T03:15:49.937000Z,2023-02-23T13:37:42.672000Z,2023-02-23T03:15:50.318661Z,4150,CQXVLPYN,83,22,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6cee34834e89b96653696,,APPROVED,2023-02-23T02:28:19.049000Z,2023-02-23T03:17:45.019000Z,2023-02-23T13:37:42.778000Z,2023-02-23T03:17:45.354589Z,2966,CQXVLPYN,495,20,Male,White,United States,United States,United States,English,Yes,Part-Time,
63f6d19098d079275e767211,,APPROVED,2023-02-23T02:38:21.096000Z,2023-02-23T04:47:32.676000Z,2023-02-23T13:37:42.877000Z,2023-02-23T04:47:32.991595Z,7752,CQXVLPYN,1241,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6da5938bb55817a507afb,,APPROVED,2023-02-23T03:15:52.769000Z,2023-02-23T04:19:24.993000Z,2023-02-23T13:37:42.984000Z,2023-02-23T04:19:25.336453Z,3813,CQXVLPYN,783,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63f6db2c5dc15a48327ec6d7,,APPROVED,2023-02-23T03:19:11.570000Z,2023-02-23T04:22:32.081000Z,2023-02-23T13:37:43.090000Z,2023-02-23T04:22:32.442410Z,3801,CQXVLPYN,1704,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
