Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,17,definietly 17,,,,,,1,completely deliberate,,,I heard this song in Meijer,,option_2,option_0,option_2,Heard it in every store while grocery shopping.,,option_4,,,,,,,,,option_0,,,,,,,,,,,,option_1,,,,,,,option_4,option_0,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,10,,,,,11,Living room,,,,,,1,completely deliberate,,,WHO DOESNT KNOW JT,,neutral,not at all,somewhat,My sister played it a lot,,extremely,,,,,,,,,not at all,,,,,,,,,,,,somewhat,,,,,,,not at all,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,18,,,,,20,No,,,,,,1,completely deliberate,,,Private,,neutral,not at all,not at all,Heard it by my sister,,somewhat,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,a little,,,very,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,23,,,,,22,22,,,,,,1,completely deliberate,,,Man from a boombox,,neutral,not at all,not at all,Heard it everywhere ,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,21,,,,,24,24,,,,,,1,completely deliberate,,,Cleaning,,neutral,not at all,not at all,At a party. A country one. Smh,,somewhat,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,16,,,,,22,22,,,,,,1,completely deliberate,,,Radio,,neutral,not at all,somewhat,Radio,,extremely,,,,,,,,,not at all,,,,,,,,,,,,somewhat,,,,,,,somewhat,somewhat,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,13,,,,,22,23,,,,,,1,completely deliberate,,,Private,,neutral,not at all,somewhat,Man everyone overplayed this,,extremely,,,,,,,,,somewhat,,,,,,,,,,,,a little,,,,,,,somewhat,somewhat,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,17,,,,,21,21,,,,,,1,completely deliberate,,,WORKING,,somewhat negative,not at all,not at all,At work,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,15,,,,,21,21,,,,,,1,completely deliberate,,,Listened at work,,somewhat negative,not at all,not at all,Work intercoms,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
