Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,age_at_event,association,Condition_Id,control,description,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,important,preference,,social,unique,version_familiarity,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,,,1,,,,,,,,,,,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,10,No,1,,Private,option_2,option_0,option_0,I think I have heard it in a video game before.,,option_1,option_0,option_0,,option_0,option_0,,not at all,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,11,,No,1,,,,,,Never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,4,break,1,1,,,1,,,,,,,,,,,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,1,2,12,around ages 10-15,1,completely spontaneous,It maybe remember one of the school dances I attended during junior high.,neutral,not at all,not at all,I have heard the song on radio and on the internet before,,a little,not at all,not at all,,very,somewhat,,a little,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,6,post survey,1,1,,,1,,,,,,,,,,,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,2,,no asssociation,1,,,,,,Never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,2,22,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,16,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,3,12,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,5,,2016-2020,1,,,,,,I think I've heard it on a livestream a couple of times,,a little,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,4,3,,around age 8-12,1,,,,,,I have heard the song on radio and online multiple times,,a little,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,20,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,5,4,,no association,1,,,,,,I have heard the song before but do not remember where,,a little,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,9,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,6,10,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,14,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,7,15,,no association,1,,,,,,never heard it,,not at all,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,6,,2008-2015,1,,,,,,I think I have heard it on the radio and internet a few times,,a little,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,8,17,,no association,1,,,,,,I think I have heard it once  during a livestream,,a little,,not at all,,,,,,yes,,,2023-07-02T04:38:26.000Z,685597,group_1,795794,session_1,1,2023-07-02T03:59:47.000Z,,,,not measured,,TRUE
