Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,bluegrass,blues,bossa nova,choral,classical,Condition_Id,country,dance_remix,edm,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,,r_and_b,rap,rock,salsa,self_description,similarity,vintage,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,21,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,23,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,19,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,25,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,9,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,yes,,,2023-02-01T17:16:43.000Z,592370,group_1,677766,session_1,1,2023-02-01T16:53:24.000Z,,,,not measured,,TRUE
