Submission id,,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Hearing difficulties,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6691ab9d317a1e0cd44ce37c,,APPROVED,Not Applicable,2024-07-12T22:18:11.189000Z,2024-07-12T22:45:57.990000Z,2024-07-13T00:25:25.343000Z,2024-07-12T22:45:58.687641Z,1667,C53Y3VMV,2,English,No,Yes,26,Female,White,United States,United States,United States,English,No,Full-Time
6691abc41aa2fa0d090c3e2c,,APPROVED,Not Applicable,2024-07-12T22:18:53.402000Z,2024-07-12T22:50:45.792000Z,2024-07-13T00:25:25.584000Z,2024-07-12T22:52:46.393805Z,1913,C53Y3VMV,3,English,No,Yes,43,Female,White,United States,United States,United States,English,No,Full-Time
6691ac1e307be77b81175761,,APPROVED,Not Applicable,2024-07-12T22:20:19.122000Z,2024-07-12T22:50:27.787000Z,2024-07-13T00:25:25.816000Z,2024-07-12T22:52:45.170673Z,1809,C53Y3VMV,1044,English,No,Yes,39,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6691aca6457da644d17fb2e3,,APPROVED,Not Applicable,2024-07-12T22:22:32.788000Z,2024-07-12T22:51:43.862000Z,2024-07-13T00:25:26.051000Z,2024-07-12T22:52:49.548711Z,1752,C53Y3VMV,168,English,No,Yes,19,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
6691ad90ddd5c749f563592f,,APPROVED,Not Applicable,2024-07-12T22:26:35.427000Z,2024-07-12T22:52:25.044000Z,2024-07-13T00:25:26.285000Z,2024-07-12T22:52:50.512436Z,1550,C53Y3VMV,181,"English, Spanish",No,Yes,30,Female,Black,United States,United States,United States,English,No,Full-Time
6691adde6d14fd83c2a18c22,,APPROVED,Not Applicable,2024-07-12T22:27:46.982000Z,2024-07-12T22:54:37.647000Z,2024-07-13T00:25:26.523000Z,2024-07-12T23:54:39.790533Z,1611,C53Y3VMV,240,English,No,Yes,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6691adf251430e598bc008ae,,APPROVED,Not Applicable,2024-07-12T22:31:02.713000Z,2024-07-12T23:06:06.210000Z,2024-07-13T00:25:27.025000Z,2024-07-12T23:06:12.407604Z,2104,C53Y3VMV,529,English,No,Yes,59,Female,White,United States,United States,United States,English,No,Full-Time
6691aefc0a86d780d3c3ea61,,APPROVED,Not Applicable,2024-07-12T22:32:35.024000Z,2024-07-12T23:04:06.648000Z,2024-07-13T00:25:27.289000Z,2024-07-12T23:05:06.718931Z,1892,C53Y3VMV,1620,English,No,Yes,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6691af1f250cdadffd5d9b79,,APPROVED,Not Applicable,2024-07-12T22:33:19.714000Z,2024-07-12T23:19:24.536000Z,2024-07-13T00:25:27.514000Z,2024-07-12T23:19:25.014695Z,2765,C53Y3VMV,59,"Spanish, English",No,Yes,21,Male,Other,United States,United States,United States,Spanish,No,Full-Time
6691af91d17ef3c3c2635c8f,,APPROVED,Not Applicable,2024-07-12T22:35:02.332000Z,2024-07-12T23:09:15.984000Z,2024-07-13T00:25:27.758000Z,2024-07-12T23:09:17.036257Z,2054,C53Y3VMV,192,English,No,Yes,25,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
