welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Country,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0002,2.8036,space,2.7875,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,77.011,77.0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,77.0149,90.551,space,13.5224,,90.561,130.442,"[-0.0234375,-0.0234375,-0.020833333333333332,-0.020833333333333332,0.01171875]","[-0.4166666666666667,-0.4166666666666667,-0.4153645833333333,-0.4153645833333333,-0.4348958333333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[7.41129999971389,13.724199999809258,16.133599999904632,16.600199999809263,19.33069999980927]","[""play_button""]",y,38.8577,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4427,166.0065,space,35.5318,,166.0067,286.0218,286.022,309.7803,right,20.2238,,309.7804,319.3704,space,9.5501,,319.3705,333.307,-0.229166667,-0.260416667,1,0,0,7.9265,compass_2,333.3073,334.9591,space,1.6441,,334.9591,334.9681,335.0004,348.2467,-0.16796875,-0.178385417,1,0,0,7.2319,compass,0,0,0,19,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.2561,358.2312,-0.188802083,0.196614583,1,0,0,3.9585,compass,0,1,1,16,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.2408,364.7962,-0.178385417,-0.173177083,1,0,0,0.5497,compass,0,2,2,2,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.8052,372.0558,0.208333333,-0.2109375,1,0,0,1.2494,compass,0,3,3,17,1,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0653,383.4608,0.178385417,0.17578125,1,0,0,5.395,compass,0,4,4,7,1,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.4698,392.0977,-0.1953125,-0.165364583,1,0,0,2.6262,compass,0,5,5,10,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.1068,399.5067,0.16015625,0.192708333,1,0,0,1.3945,compass,0,6,6,11,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.5156,406.7877,-0.184895833,0.166666667,1,0,0,1.2659,compass,0,7,7,3,1,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
