welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Classic rock,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0,2.1399,space,2.1325,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,17.5051,17.5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,17.5062,20.6231,space,3.0995,,20.6237,56.7284,"[-0.037037037037037035,0.003703703703703704,-0.012037037037037037]","[-0.41203703703703703,-0.412962962962963,-0.42685185185185187]","[1,1,1]","[0,0,0]","[0,0,0]","[7.966999999999999,10.083499999999994,29.350400000005955]","[""play_button"",""play_button""]",y,35.0701,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7287,72.8572,space,16.124,,72.8572,192.8586,192.8587,201.4253,right,5.0396,,201.4253,209.1086,space,7.6753,,209.1087,219.9587,0.148148148,-0.169444444,1,0,0,4.8336,compass_2,219.9589,223.1754,space,3.1992,,223.1754,223.1797,223.195,235.1924,-0.002777778,-0.203703704,1,0,0,5.9837,compass,0,0,0,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.197,245.7255,-0.033333333,-0.175,1,0,0,4.5166,compass,0,1,1,18,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.7301,257.2255,0.075925926,-0.189814815,1,0,0,5.4834,compass,0,2,2,13,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.23,267.0422,-0.000925926,-0.262037037,1,0,0,3.8,compass,0,3,3,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0468,275.409,0,-0.271296296,1,0,0,2.35,compass,0,4,4,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.4138,289.2426,-0.277777778,-0.065740741,1,0,0,7.8168,compass,0,5,5,6,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
