welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.R&B,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Country,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0042,1.9852,space,1.9433,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,43.6289,43.6293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,43.6364,97.7058,space,54.0367,,97.7301,148.8227,"[-0.0075053900060519365,-0.0075053900060519365,-0.0075053900060519365]","[-0.41487859448356806,-0.41487859448356806,-0.41487859448356806]","[1,1,1]","[0,0,0]","[0,0,0]","[24.809900000000383,43.01309999999965,44.773800000000776]","[""play_button"",""play_button"",""play_button""]",y,50.0241,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8244,191.147,space,42.2866,,191.1477,311.1599,311.1606,335.8737,right,21.1809,,335.8741,343.4435,space,7.5267,,343.444,369.4606,,,,,,,,369.4619,372.0409,space,2.5557,,372.0411,372.0555,372.1446,381.1434,-0.183528775,-0.005907587,1,0,0,2.9858,compass,0,0,0,30,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.1617,407.1772,,,,,,,,0,1,1,27,1,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.1929,433.1958,,,,,,,,0,2,2,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.212,445.1799,0.165891692,0.20714698,1,0,0,5.9521,compass,0,3,3,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.1944,456.0967,7.9446E-05,-0.182554576,1,0,0,4.9003,compass,0,4,4,16,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.1121,468.8977,0.229313452,0.250245806,1,0,0,6.7688,compass,0,5,5,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
