welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.A cappella,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.001,3.7091,space,3.0801,0.0006,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,168.0543,168.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,168.0559,172.7066,space,4.3603,0.0003,172.7155,381.139,"[-0.008617706298828125,-0.007992706298828124,-0.02408943176269531]","[-0.4178811645507812,-0.4178811645507812,-0.4020039367675781]","[1,1,1]","[0,0,0]","[0,0,0]","[55.14460000014304,183.48710000014302,190.22529999995226]","[""play_button"",""play_button""]",n,206.9267,0.0003,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,381.1476,406.8866,[-0.02114837646484375],[-0.41161346435546875],[1],[0],[0],[18.63890000009542],[],y,24.247,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,406.8873,422.0259,space,14.7255,0.0001,422.026,542.0332,542.0335,554.9212,right,8.9558,0.0002,554.9213,562.6305,space,7.3564,,562.6306,588.3181,0.158018875,-0.186034393,1,0,0,19.68,compass_2,588.3183,591.1301,space,2.4232,9.99999E-05,591.1302,591.139,591.1637,605.7897,0.318746185,0.312401714,1,0,0,8.3335,compass,0,0,0,22,1,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.7987,615.5422,-0.211605988,-0.224885559,1,0,0,3.4669,compass,0,1,1,21,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.5517,628.608,0.214279404,0.169072189,1,0,0,6.9378,compass,0,2,2,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.6187,654.1242,0.250214233,0.186811848,1,0,0,19.5016,compass,0,3,3,27,1,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.1328,662.2871,0.270419769,0.121463509,1,0,0,1.9939,compass,0,4,4,1,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
