welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Country,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.001,0.829,space,0.814,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,8.597,8.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,8.601,9.311,space,0.687,,9.312,11.413,[],[],[],[],[],[],[],n,1.078,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,11.414,15.778,[-0.03666666666666667],[-0.37444444444444447],[1],[0],[0],[2.3169999999999966],[],n,3.332,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,15.778,25.413,[0.06444444444444444],[-0.24333333333333335],[1],[0],[0],[8.086000000000002],[],n,8.617,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,25.413,28.016,[],[],[],[],[],[],[],y,1.59,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,28.016,28.98,space,0.938,,28.98,148.989,148.989,166.688,right,14.169,,166.689,233.993,space,67.28,,233.993,242.044,0.141111111,-0.141111111,1,0,0,2.05,compass_2,242.044,243.677,space,1.609,,243.677,243.678,243.71,254.611,0.221111111,0.1,1,0,0,4.9,compass,0,0,0,3,1,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.611,263.628,0.257777778,0.232222222,1,0,0,3.017,compass,0,1,1,5,1,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.628,271.862,0.305555556,-0.135555556,1,0,0,2.234,compass,0,2,2,10,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
