welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Hip hop,post_survey.question1.Reggae,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0,3.317,space,3.26,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,107.324,107.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,107.328,115.74,space,8.341,,115.742,160.778,"[-0.022321428571428572,-0.0008928571428571428,-0.015178571428571428]","[-0.40625,-0.41875,-0.4089285714285714]","[1,1,1]","[0,0,0]","[0,0,0]","[12.300999999999988,15,36.565999999999974]","[""play_button"",""play_button""]",y,43.976,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,160.779,191.574,space,30.657,,191.575,311.575,311.576,330.842,right,15.696,,330.843,340.642,space,9.69,,340.642,347.509,0.274107143,-0.054464286,1,0,0,0.833,compass_2,347.509,351.308,space,3.744,,351.309,351.309,351.34,359.281,-0.095535714,-0.075,1,0,0,1.939,compass,0,0,0,17,1,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.282,370.275,0.172321429,0.221428571,1,0,0,4.967,compass,0,1,1,3,1,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.276,383.841,-0.163392857,0.167857143,1,0,0,7.532,compass,0,2,2,25,1,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.841,393.342,-0.125,-0.107142857,1,0,0,3.5,compass,0,3,3,10,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.342,399.675,0.202678571,0.209821429,1,0,0,0.333,compass,0,4,4,21,1,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.676,407.208,0.11875,-0.213392857,1,0,0,1.499,compass,0,5,5,19,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.208,415.741,0.176785714,0.116071429,1,0,0,2.532,compass,0,6,6,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
