welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0055,1.7276,space,1.6942,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,17.6073,17.6076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,17.6099,19.5771,space,1.9486,,19.5786,33.8606,[-0.041666666666666664],[-0.4148148430718316],[1],[0],[0],[9.010700000002984],[],n,13.2395,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,33.8699,37.0436,[],[],[],[],[],[],[],n,2.1439,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,37.0444,38.7435,[],[],[],[],[],[],[],n,0.6665,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,38.744,40.1768,[],[],[],[],[],[],[],n,0.3925,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,40.1773,42.4601,[],[],[],[],[],[],[],n,1.2588,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4614,62.6271,space,20.144,,62.6272,182.6438,182.644,189.8111,right,3.6329,,189.8112,195.7448,space,5.9126,,195.7451,206.4937,0.344172679,-0.190359739,1,0,0,3.9316,compass_2,206.4938,208.0764,space,1.5559,,208.0765,208.0828,208.098,217.8942,0.314244639,0.296546749,1,0,0,3.7818,compass,0,0,0,22,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8997,227.3602,-0.082877663,0.111223004,1,0,0,3.4473,compass,0,1,1,1,1,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
