welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0002,2.4936,space,2.4851,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,18.5294,18.5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,18.5306,29.681,space,11.138,,29.682,53.3427,[-0.010185171056676793],[-0.4046296720151548],[1],[0],[0],[9.259799999997021],"[""play_button""]",y,22.6382,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3431,86.6772,space,33.3212,,86.6774,206.6782,206.6785,222.1013,right,11.9136,,222.1015,234.4408,space,12.3193,,234.441,241.1763,0.119444459,-0.116666653,1,0,0,0.7307,compass_2,241.1765,244.3773,space,3.1936,,244.3774,244.3831,244.3977,250.7438,-0.134259259,-0.127777806,1,0,0,0.3403,compass,0,0,0,32,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.749,257.1744,0.183333362,0.231481481,1,0,0,0.4235,compass,0,1,1,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.1797,265.5272,-0.087037051,-0.08425928,1,0,0,2.3454,compass,0,2,2,23,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.5331,271.992,-0.223148134,-0.233333376,1,0,0,0.4577,compass,0,3,3,10,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9979,280.9827,0.082407422,-0.057407414,1,0,0,2.9832,compass,0,4,4,31,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.9884,288.8911,-0.062962921,0.055555556,1,0,0,1.9008,compass,0,5,5,2,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
