welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0,1.897,space,1.848,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,15.1,82.21,space,67.082,,82.214,101.763,"[-0.019675925925925927,-0.019675925925925927,-0.019675925925925927]","[-0.4050925925925926,-0.4050925925925926,-0.4050925925925926]","[1,1,1]","[0,0,0]","[0,0,0]","[13.411000000000001,16.84899999999999,17.331999999999994]",[],n,18.52,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,101.765,123.316,"[-0.017361111111111112,0,0]","[-0.4050925925925926,-0.4513888888888889,-0.4513888888888889]","[1,1,1]","[0,0,0]","[0,0,0]","[0.5840000000000032,3.5740000000000123,3.7600000000000193]","[""play_button"",""play_button""]",y,20.521,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.317,174.532,space,51.138,,174.532,294.546,294.546,303.972,right,5.891,,303.972,344.78,space,40.754,,344.78,352.436,0.171296296,-0.22337963,1.0,0.0,0.0,1.652,compass_2,352.436,354.254,space,1.789,,354.254,354.254,354.276,360.978,0.18287037,-0.25,1.0,0.0,0.0,0.7,compass,0.0,0.0,0.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.98,367.183,0.231481481,0.247685185,1.0,0.0,0.0,0.199,compass,0.0,1.0,1.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.183,373.505,0.306712963,0.332175926,1.0,0.0,0.0,0.316,compass,0.0,2.0,2.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.506,379.763,-0.239583333,-0.293981481,1.0,0.0,0.0,0.252,compass,0.0,3.0,3.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.764,386.218,0.166666667,0.127314815,1.0,0.0,0.0,0.451,compass,0.0,4.0,4.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.218,393.859,0.144675926,-0.12037037,1.0,0.0,0.0,1.636,compass,0.0,5.0,5.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.862,400.165,-0.258101852,-0.287037037,1.0,0.0,0.0,0.301,compass,0.0,6.0,6.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
