welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0005,1.8529,space,1.8439,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,86.8371,86.8373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,86.8402,185.8695,space,99.0043,,185.8787,205.0552,[-0.011111111111111112],[-0.4266666666666667],[1],[0],[0],[6.780800000011908],"[""play_button""]",y,18.1326,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0556,225.2568,space,20.1867,,225.2572,345.2692,345.2697,354.2968,right,5.4951,,354.2969,360.7359,space,6.4137,,360.7361,367.7255,0.186666667,-0.18,1.0,0.0,0.0,0.9776,compass_2,367.7264,370.0396,space,2.2879,,370.0401,370.0574,370.0883,376.9807,0.24,0.275555556,1.0,0.0,0.0,0.882,compass,0.0,0.0,0.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.9903,383.573,0.204444444,0.145555556,1.0,0.0,0.0,0.5664,compass,0.0,1.0,1.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.5846,397.124,0.301111111,0.315555556,1.0,0.0,0.0,7.5243,compass,0.0,2.0,2.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.134,411.7236,-0.222222222,-0.242222222,1.0,0.0,0.0,8.573,compass,0.0,3.0,3.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.7324,420.6636,0.245555556,-0.263333333,1.0,0.0,0.0,2.9301,compass,0.0,4.0,4.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.6719,426.8231,-0.251111111,0.235555556,1.0,0.0,0.0,0.1502,compass,0.0,5.0,5.0,25.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
