welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.001,1.449,space,1.43,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,13.636,13.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,13.64,52.56,space,38.895,,52.561,70.731,[-0.021296296296296296],[-0.44537037037037036],[1],[0],[0],[4.078000000000003],"[""play_button""]",y,17.135,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,70.732,88.295,space,17.502,,88.295,208.311,208.312,215.157,right,3.31,,215.157,230.67,space,15.469,,230.67,241.407,0.219444444,-0.226851852,1.0,0.0,0.0,4.736,compass_2,241.407,242.485,space,1.054,,242.486,242.486,242.513,253.105,0.199074074,-0.131481481,1.0,0.0,0.0,4.587,compass,0.0,0.0,0.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.106,259.958,0.276851852,0.201851852,1.0,0.0,0.0,0.842,compass,0.0,1.0,1.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.959,266.663,0.222222222,-0.136111111,1.0,0.0,0.0,0.701,compass,0.0,2.0,2.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.663,273.131,0.230555556,0.201851852,1.0,0.0,0.0,0.459,compass,0.0,3.0,3.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.131,280.689,0.230555556,0.200925926,1.0,0.0,0.0,1.55,compass,0.0,4.0,4.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.69,291.177,-0.211111111,-0.121296296,1.0,0.0,0.0,4.484,compass,0.0,5.0,5.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
