welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.medium,post_survey.music_making,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0004,2.7328,space,2.7089,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,18.4777,18.4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,18.493,27.6999,space,9.1311,,27.7024,56.2129,[0.012037065294053819],[-0.40185186598036027],[1],[0],[0],[23.811900000000364],"[""play_button""]",n,27.4798,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,56.215,59.7772,[],[],[],[],[],[],[],n,2.5338,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,59.7781,61.9761,[],[],[],[],[],[],[],y,1.1723,,2.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,61.979,80.8728,space,18.8546,,80.8733,200.8805,200.8848,209.34,right,4.927,,209.3404,240.1112,space,30.7245,,240.1115,246.8224,0.275257779,0.096649485,1.0,0.0,0.0,0.7029,compass_2,246.8233,249.6463,space,2.8002,,249.6517,249.6533,249.716,255.8998,0.220618572,-0.266237161,1.0,0.0,0.0,0.1667,compass,0.0,0.0,0.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.9023,262.8729,0.195876289,-0.250773243,1.0,0.0,0.0,0.969,compass,0.0,1.0,1.0,18.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.8753,269.3982,0.164948454,0.210051546,1.0,0.0,0.0,0.517,compass,0.0,2.0,2.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.403,275.424,-0.141237082,0.203865936,1.0,0.0,0.0,0.0157,compass,0.0,3.0,3.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
