welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0003,2.0304,space,2.0058,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,60.4889,60.4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,60.4978,67.3064,space,6.7796,,67.3427,96.8701,"[-0.024748908148871526,-0.02751967818648727,-0.02751967818648727]","[-0.39502795184100115,-0.4411793461552373,-0.4411793461552373]","[1,1,1]","[0,0,0]","[0,0,0]","[17.83729999999983,20.147399999999436,20.33250000000001]","[""play_button"",""play_button""]",y,28.4424,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8719,116.6008,space,19.6952,,116.6013,236.6197,236.6212,245.7182,right,5.5427,,245.7185,253.434,space,7.6726,,253.4348,260.1808,0.320314421,-0.052141938,1.0,0.0,0.0,0.7333,compass_2,260.1816,263.612,space,3.4106,,263.6121,263.629,263.6691,272.7136,0.274127762,-0.104280316,1.0,0.0,0.0,3.034,compass,0.0,0.0,0.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.752,279.1105,0.252305773,-0.148269032,1.0,0.0,0.0,0.3494,compass,0.0,1.0,1.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1427,288.2096,0.20049981,-0.039286296,1.0,0.0,0.0,3.0634,compass,0.0,2.0,2.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2395,297.9919,0.31353059,0.326762249,1.0,0.0,0.0,3.7487,compass,0.0,3.0,3.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0266,304.2594,-0.034489102,0.32440567,1.0,0.0,0.0,0.2178,compass,0.0,4.0,4.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.2918,310.5239,0.260924163,-0.049978355,1.0,0.0,0.0,0.2101,compass,0.0,5.0,5.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
