welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0003,2.8471,space,2.8292,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,102.1714,102.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,102.1752,108.2273,space,6.0283,,108.244,161.1594,"[-0.0061892361111111115,-0.0061892361111111115,-0.0061892361111111115,-0.018024088541666667]","[-0.4260906304253472,-0.4260906304253472,-0.4260906304253472,-0.4027981906467014]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[19.114300000004476,41.49140000000597,43.616800000004474,45.17890000000597]","[""play_button"",""play_button"",""play_button""]",n,51.8762,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,161.177,184.7001,[-0.006728854709201389],[-0.41740485297309027],[1],[0],[0],[0.8576999999955319],"[""play_button""]",y,22.4817,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,184.7011,213.8317,space,29.1035,,213.832,333.85,333.8515,349.6357,right,12.2559,,349.6358,360.2264,space,10.5534,,360.2266,367.3477,0.172252197,-0.167755195,1.0,0.0,0.0,1.1081,compass_2,367.348,370.7074,space,3.3315,,370.7075,370.7253,370.762,377.2559,0.160295817,-0.158548787,1.0,0.0,0.0,0.4758,compass,0.0,0.0,0.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.2776,383.6934,0.173878581,0.100111491,1.0,0.0,0.0,0.4108,compass,0.0,1.0,1.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.7156,389.884,0.103220215,0.118834025,1.0,0.0,0.0,0.1495,compass,0.0,2.0,2.0,11.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.9026,396.0705,0.193488227,-0.13470459,1.0,0.0,0.0,0.1619,compass,0.0,3.0,3.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0895,405.1741,0.142283257,0.115497776,1.0,0.0,0.0,3.0825,compass,0.0,4.0,4.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
