welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0002,5.3478,space,5.3306,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,75.4167,75.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,75.4212,99.3066,space,23.8721,,99.3139,175.7055,"[-0.023333333333333334,0.44,-0.03333333333333333,-0.017777777777777778,0.3088888888888889,-0.021111111111111112,-0.021111111111111112]","[-0.42777777777777776,-0.3788888888888889,-0.3877777777777778,-0.42,-0.29888888888888887,-0.41444444444444445,-0.4122222222222222]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[18.620299999982137,39.022999999999996,41.847899999976164,47.85629999998213,52.515199999988084,54.77269999998808,66.7775]","[""play_button"",""play_button""]",n,75.3683,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,175.7152,254.6197,"[-0.021111111111111112,-0.018633540372670808]","[-0.4122222222222222,-0.40683229813664595]","[1,1]","[0,0]","[0,0]","[0.6380000000000052,69.03179999998207]",[],n,77.8952,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,254.6283,280.9877,"[-0.018633540372670808,-0.013664596273291925]","[-0.40683229813664595,-0.4043478260869565]","[1,1]","[0,0]","[0,0]","[0.7847999999821127,3.9740999999940527]","[""play_button""]",y,25.3316,,2.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,280.988,332.9622,space,51.952,,332.9624,452.9721,452.9724,493.5485,right,37.0448,,493.5488,504.802,space,11.2298,,504.8021,519.8629,0.134161491,-0.018012422,1.0,0.0,0.0,9.0463,compass_2,519.863,522.8521,space,2.9558,,522.8524,522.8617,522.8732,531.0512,-0.122981366,0.122360248,1.0,0.0,0.0,2.1674,compass,0.0,0.0,0.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.0584,539.9006,0.098136646,-0.164596273,1.0,0.0,0.0,2.8389,compass,0.0,1.0,1.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.91,552.0069,0.095652174,-0.143478261,1.0,0.0,0.0,6.0947,compass,0.0,2.0,2.0,18.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.0155,562.0939,0.238509317,-0.024223602,1.0,0.0,0.0,4.0731,compass,0.0,3.0,3.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
