welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Pop,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Latin,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0002,1.4782,space,1.4586,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,86.6797,86.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,86.6832,89.2255,space,2.5324,,89.2262,122.5095,[0],[-0.41296294883445456],[1],[0],[0],[14.517200000003001],"[""play_button""]",y,32.2491,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5103,136.4765,space,13.9368,,136.4767,256.4916,256.492,264.8614,right,4.8507,,264.8615,274.5751,space,9.6611,,274.5754,283.0388,0.040740755,-0.062037044,1.0,0.0,0.0,2.4495,compass_2,283.039,284.7057,space,1.6478,,284.7057,284.7131,284.7286,291.8385,0.089814857,-0.089814822,1.0,0.0,0.0,1.0996,compass,0.0,0.0,0.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.8447,299.8716,-0.123148106,-0.104629658,1.0,0.0,0.0,2.0165,compass,0.0,1.0,1.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.8777,306.5549,0.320370427,0.309259256,1.0,0.0,0.0,0.6666,compass,0.0,2.0,2.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5606,313.4215,0.060185185,0.083333333,1.0,0.0,0.0,0.85,compass,0.0,3.0,3.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.4272,319.9546,-0.310185185,0.307407397,1.0,0.0,0.0,0.5161,compass,0.0,4.0,4.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.9608,326.638,-0.216666681,-0.229629658,1.0,0.0,0.0,0.6666,compass,0.0,5.0,5.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
