welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.Metal,post_survey.question1.Country,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0001,1.9201,space,1.9045,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,21.6098,21.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,21.6111,26.6376,space,5.0061,,26.6459,49.7483,"[-0.018641493055555555,0.014444444444444444]","[-0.4060720486111111,-0.4282465277777778]","[1,1]","[0,0]","[0,0]","[11.194100000023838,13.233000000000004]","[""play_button""]",y,22.0577,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7487,63.5219,space,13.7583,,63.5222,183.5276,183.5283,195.7631,right,8.7042,,195.7631,210.4114,space,14.6306,,210.4116,216.8275,0.203472222,-0.225772569,1.0,0.0,0.0,0.4,compass_2,216.8278,218.1275,space,1.2793,,218.1276,218.1279,218.152,225.8947,-0.141332465,-0.185112847,1.0,0.0,0.0,1.7334,compass,0.0,0.0,0.0,23.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.9062,232.2612,0.185412326,0.085212674,1.0,0.0,0.0,0.3499,compass,0.0,1.0,1.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2724,243.2781,0.185412326,0.085212674,1.0,0.0,0.0,5.0004,compass,0.0,2.0,2.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.2871,249.7782,0.20547309,-0.220998264,1.0,0.0,0.0,0.483,compass,0.0,3.0,3.0,13.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.7788,256.3786,0.134565972,-0.279557292,1.0,0.0,0.0,0.5831,compass,0.0,4.0,4.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.3894,262.9787,0.215555556,-0.156805556,1.0,0.0,0.0,0.5831,compass,0.0,5.0,5.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
