welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.Country,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0075,3.3068,space,3.2758,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,80.6807,80.6809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,80.6828,87.2099,space,6.5043,,87.2249,103.332,[],[],[],[],[],[],[],n,15.0622,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,103.3562,106.859,[],[],[],[],[],[],[],n,2.4734,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,106.8804,124.9097,[],[],[],[],[],[],[],n,16.9865,,2.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,124.9254,127.6796,[],[],[],[],[],[],[],n,1.7325,,3.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,127.6802,137.7885,[],[],[],[],[],[],[],n,9.0774,,4.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,137.8136,148.7415,space,10.8817,,148.7419,268.7539,268.7544,281.2142,right,8.9254,,281.2143,292.7877,space,11.5356,,292.7879,300.9726,0.18240745,-0.172222208,1.0,0.0,0.0,2.1794,compass_2,300.973,302.9557,space,1.9621,,302.9562,302.9572,303.0077,309.5322,0.194444444,0.124074053,1.0,0.0,0.0,0.5164,compass,0.0,0.0,0.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.5415,316.1262,0.162962949,-0.147222236,1.0,0.0,0.0,0.5827,compass,0.0,1.0,1.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
