welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0051,1.6197,space,1.5805,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,19.5838,19.5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,19.5875,20.6573,space,1.0421,,20.6592,39.7074,"[0.004629686143663194,0.002777777777777778,-0.007407379150390625,-0.01481475830078125]","[-0.41388888888888886,-0.4379630194769965,-0.3907407972547743,-0.4027777777777778]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[7.2309999999999945,15.219799999997008,15.801699999995549,16.584799999997017]","[""play_button"",""play_button"",""play_button""]",y,17.9995,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7099,55.3465,space,15.6027,,55.3467,175.3614,175.3617,181.8137,right,2.9129,,181.814,186.2669,space,4.4083,,186.2671,198.7756,0.132407464,-0.158333333,1.0,0.0,0.0,6.4974,compass_2,198.7759,200.1478,space,1.3527,,200.1482,200.1619,200.2043,207.0069,0.150925954,-0.116666667,1.0,0.0,0.0,0.7994,compass,0.0,0.0,0.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.019,215.3061,-0.190740712,0.226851845,1.0,0.0,0.0,2.2838,compass,0.0,1.0,1.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3187,222.0585,0.182407464,-0.177777778,1.0,0.0,0.0,0.735,compass,0.0,2.0,2.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0742,228.3887,0.215740797,0.251851845,1.0,0.0,0.0,0.3019,compass,0.0,3.0,3.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.4036,234.7699,0.076851908,-0.1,1.0,0.0,0.0,0.3647,compass,0.0,4.0,4.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7817,242.5683,-0.222222222,0.198148134,1.0,0.0,0.0,1.783,compass,0.0,5.0,5.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
