welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Metal,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0002,1.3521,space,1.3478,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,19.8463,19.8464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,19.8478,23.1009,space,3.2487,,23.1014,37.1123,[-0.005685763888888889],[-0.4123350694444444],[1],[0],[0],[2.2694999999999936],"[""play_button""]",y,12.995,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1126,57.5866,space,20.4682,,57.5866,177.5896,177.5898,186.8901,right,5.7869,,186.8901,193.6178,space,6.7215,,193.6179,203.6696,0.171241319,-0.177061632,1.0,0.0,0.0,4.0369,compass_2,203.6697,205.0444,space,1.3731,,205.0445,205.0498,205.0615,214.1919,0.054796007,0.072057292,1.0,0.0,0.0,3.1185,compass,0.0,0.0,0.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.1978,222.6058,0.204166667,0.040837674,1.0,0.0,0.0,2.3898,compass,0.0,1.0,1.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6115,229.4071,0.090737847,0.237430556,1.0,0.0,0.0,0.7881,compass,0.0,2.0,2.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4128,238.0313,0.24656684,0.030555556,1.0,0.0,0.0,2.6171,compass,0.0,3.0,3.0,13.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0371,244.5489,0.311436632,0.328159722,1.0,0.0,0.0,0.4974,compass,0.0,4.0,4.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.5537,251.0297,0.050438368,0.110824653,1.0,0.0,0.0,0.4745,compass,0.0,5.0,5.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
