welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.question1.A cappella,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Pop,post_survey.question1.Country,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0003,5.5024,space,5.3892,0.0004,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,20.1033,20.1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,20.1065,24.1684,space,3.9698,,24.1761,49.8663,"[-0.020370342113353587,-0.021296253910771123]","[-0.42407410233109083,-0.42407410233109083]","[1,1]","[0,0]","[0,0]","[18.877900000005965,19.45679999998211]","[""play_button"",""play_button""]",y,24.4204,0.0001,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8668,65.0772,space,15.0658,0.0003,65.0773,185.2005,185.2007,196.9903,right,8.1107,0.0002,196.9904,204.6468,space,7.4976,0.0002,204.647,218.1617,0.333333333,-0.328703704,1.0,0.0,0.0,6.2895,compass_2,218.1619,220.3195,space,2.0365,,220.3197,220.3279,220.3499,228.964,0.175925926,-0.33148151,1.0,0.0,0.0,2.5803,compass,0.0,0.0,0.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.9716,237.0803,0.327777863,0.262962959,1.0,0.0,0.0,2.0808,compass,0.0,1.0,1.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0877,249.8601,0.172222208,-0.328703704,1.0,0.0,0.0,6.7531,compass,0.0,2.0,2.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.8678,257.8951,0.337962963,0.342592593,1.0,0.0,0.0,2.0116,compass,0.0,3.0,3.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.9031,267.1709,-0.000925912,-0.334259245,1.0,0.0,0.0,3.2668,compass,0.0,4.0,4.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.1788,278.3931,-0.087037051,-0.329629616,1.0,0.0,0.0,5.0906,compass,0.0,5.0,5.0,13.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.4011,286.862,0.041666667,0.264814818,1.0,0.0,0.0,2.3492,compass,0.0,6.0,6.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.8704,297.9886,0.070370356,-0.235185199,1.0,0.0,0.0,5.1161,compass,0.0,7.0,7.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.9966,306.5898,0.308333362,0.288888878,1.0,0.0,0.0,2.5,compass,0.0,8.0,8.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5979,316.7433,-0.033333319,0.269444448,1.0,0.0,0.0,4.0493,compass,0.0,9.0,9.0,23.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.7509,328.2745,-0.185185185,0.15648146,1.0,0.0,0.0,5.44,compass,0.0,10.0,10.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.2847,334.9584,0.337037122,0.342592593,1.0,0.0,0.0,0.5961,compass,0.0,11.0,11.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.9669,345.1744,0.330555527,0.239814811,1.0,0.0,0.0,4.192,compass,0.0,12.0,12.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.1849,355.7302,0.248148176,0.249074071,1.0,0.0,0.0,4.5365,compass,0.0,13.0,13.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.7375,363.164,0.339814787,0.340740734,1.0,0.0,0.0,1.3149,compass,0.0,14.0,14.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.1711,373.4969,0.161111125,-0.014814836,1.0,0.0,0.0,4.239,compass,0.0,15.0,15.0,3.0,1.0,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.5045,382.5925,0.335185157,0.26666666,1.0,0.0,0.0,3.0426,compass,0.0,16.0,16.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
