welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Reggae,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.other_genres,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0,4.819,space,4.773,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,25.479,25.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,25.484,62.391,space,36.836,,62.399,103.42,"[-0.016927083333333332,-0.022135416666666668]","[-0.4127604166666667,-0.421875]","[1,1]","[0,0]","[0,0]","[14.469999999999999,35.182000000000016]","[""play_button"",""play_button""]",y,39.966,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,103.422,152.537,space,49.059,,152.538,272.548,272.549,282.527,right,6.434,,282.528,295.778,space,13.13,,295.778,303.713,0.19921875,-0.225260417,1.0,0.0,0.0,1.929,compass_2,303.714,306.461,space,2.725,,306.461,306.461,306.532,317.217,0.123697917,-0.174479167,1.0,0.0,0.0,4.671,compass,0.0,0.0,0.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.224,324.489,-0.149739583,0.11328125,1.0,0.0,0.0,1.262,compass,0.0,1.0,1.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.492,331.529,0.11328125,0.165364583,1.0,0.0,0.0,1.02,compass,0.0,2.0,2.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.53,337.995,-0.12109375,-0.122395833,1.0,0.0,0.0,0.454,compass,0.0,3.0,3.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.997,347.741,0.096354167,-0.229166667,1.0,0.0,0.0,3.732,compass,0.0,4.0,4.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.746,373.76,,,,,,,,0.0,5.0,5.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
