welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Classic rock,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Electronic (EDM),post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0003,1.6875,space,1.6682,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,23.3659,23.3661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,23.369,57.5431,space,34.1552,,57.5782,111.7109,"[-0.02870364718967014,-0.01481475830078125]","[-0.41388888888888886,-0.4148148430718316]","[1,1]","[0,0]","[0,0]","[9.200899999976158,18.31229999995233]","[""play_button""]",y,53.0637,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7116,135.3275,space,23.5849,,135.3283,255.334,255.3349,271.363,right,12.4979,,271.3633,278.0441,space,6.623,,278.0446,285.0923,0.187963019,-0.168518533,1.0,0.0,0.0,1.0338,compass_2,285.0928,287.1417,space,2.0189,,287.142,287.1701,287.199,294.124,0.153703732,-0.155555556,1.0,0.0,0.0,0.9171,compass,0.0,0.0,0.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1495,302.2043,0.202777778,0.208333333,1.0,0.0,0.0,2.0493,compass,0.0,1.0,1.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.2268,311.577,-0.179629601,0.177777778,1.0,0.0,0.0,3.3491,compass,0.0,2.0,2.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.6051,318.8232,-0.195370356,-0.163888889,1.0,0.0,0.0,1.1983,compass,0.0,3.0,3.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.8441,325.4488,0.141666667,-0.115740755,1.0,0.0,0.0,0.5993,compass,0.0,4.0,4.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.466,332.0317,0.302777778,0.334259256,1.0,0.0,0.0,0.5501,compass,0.0,5.0,5.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
