welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Reggae,survey.question1.Disco,survey.question1.Country,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Jazz,survey.question1.Ambient,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Classical,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0002,26.7033,space,26.6856,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,51.3035,51.3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,51.3054,61.0285,space,9.6903,,61.0286,149.6832,"[-0.048148119891131366,-0.026851865980360243,0.00740743566442419,0.00740743566442419,-0.1499999717429832,0.7425925643355759,0.447222250479239,0.13611115349663627,0.5833333333333334,0.7768519366229022,0.8435185750325521,-0.017592606721100985]","[-0.4009259541829427,-0.42685183772334345,-0.4185185609040437,-0.4185185609040437,-0.34537039862738717,-0.4379629912199797,-0.3388888747603805,-0.4175925784640842,-0.4444444444444444,-0.44166670905219185,-0.48055556968406393,-0.42592592592592593]","[1,1,1,0,1,0,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,1,0,1,0,0,0,0,0,0]","[8.260499999999993,32.1527000002861,32.9435,33.4555,37.6515,73.02820000028609,74.23690000009537,79.05249999999998,80.33580000019072,80.9605,81.66840000009537,82.68609999990463]","[""play_button"",""play_button"",""play_button""]",right,78.6236,,149.6837,166.4972,space,16.7848,,166.4974,185.999,6.983333164,19.4938,185.9992,190.7919,space,4.7718,,190.8139,196.8892,0,0,0,0,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8967,203.338,0,1,1,1,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.3457,204.7548,6.983333164,1.4082,0,0,0,4,1,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7568,211.0367,0,0,0,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0441,218.4688,0,1,1,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.469,221.3132,1.011111153,2.8317,0,1,1,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.3141,225.2921,0,0,0,1,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.298,231.4081,0,1,1,0,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.4083,234.7242,4.033333249,3.3092,0,2,2,16,1,song_indices/UnbreakMyHeart_ToniBraxton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.7251,241.752,0,0,0,0,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7582,248.6047,0,1,1,1,1,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
