welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Pop,survey.question1.Metal,survey.question1.Reggae,survey.question1.Country,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
1E-04,2.3227,space,2.3015,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,11.0678,11.0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,11.073,25.1046,space,14.0061,,25.1048,35.2112,"[0.02800091969440261,0.11724681930848393,-0.015506422663309488]","[-0.4482375301989207,-0.38353425910673944,-0.4348505472083647]","[1,1,1]","[0,0,0]","[0,0,0]","[1.3472999999523196,5.8166999999880815,8.63509999996424]","[""play_button"",""play_button""]",right,0.0875,,35.2172,41.7672,space,6.5287,,41.7675,57.8957,5.041528565,16.11,57.8958,64.5972,space,6.6832,,64.6301,71.091,0,0,0,0,1,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0917,77.3894,0,1,1,1,1,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.397,79.1187,5.630184883,1.7192,0,0,0,21,1,song_indices/ShapeofYou_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1195,85.0493,0,0,0,0,1,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0546,91.0818,0,1,1,1,1,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0818,92.2975,3.864216664,1.2074,0,1,1,1,1,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2983,98.3598,0,0,0,1,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3659,104.6907,0,1,1,0,1,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.691,107.4749,4.941189721,2.7759,0,2,2,16,1,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4757,115.2042,0,0,0,0,1,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
