welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Jazz,survey.question1.Classical,survey.question1.Latin,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Ambient,survey.question1.Country,survey.question1.Reggae,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0002,2.026,space,2.0039,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,13.5947,13.5949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,13.5961,16.0424,space,2.4183,,16.0425,68.0144,"[-0.007407407407407408,0.021296296296296296,0.003703703703703704,0.005555555555555556,0.008333333333333333,0.008333333333333333,-0.008333333333333333,0.012422360248447204,-0.012422360248447204,-0.013457556935817806,-0.013457556935817806,-0.012422360248447204,-0.012422360248447204,-0.012422360248447204,-0.012422360248447204,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025925925925925925,-0.025925925925925925,-0.025925925925925925,-0.025925925925925925,0.5916666666666667,0.028703703703703703]","[-0.43796296296296294,-0.24074074074074073,-0.43148148148148147,-0.21388888888888888,-0.41203703703703703,-0.41203703703703703,-0.4027777777777778,-0.43167701863354035,-0.4244306418219462,-0.4244306418219462,-0.4244306418219462,-0.4254658385093168,-0.4254658385093168,-0.4254658385093168,-0.42650103519668736,-0.4398148148148148,-0.4398148148148148,-0.4398148148148148,-0.4398148148148148,-0.44074074074074077,-0.44074074074074077,-0.44074074074074077,-0.44166666666666665,-0.44166666666666665,-0.44166666666666665,-0.44166666666666665,-0.4425925925925926,-0.35648148148148145,-0.4009259259259259]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[7.947400000095371,30.180000000000007,30.830099999904633,32.26349999999999,34.6632999997139,34.813599999904625,37.86340000009537,41.86329999971389,42.39659999990462,42.563299999713905,42.746699999809266,43.4132999997139,43.56319999980926,43.7465,43.9132999997139,44.84669999980926,45.01340000009537,45.196599999904635,45.379900000095375,47.946599999904635,48.09669999980926,48.313599999904625,48.496599999904646,48.71319999980926,49.129999999999995,49.329900000095364,49.51340000009537,49.96319999980926,50.39679999971389]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,41.9368,,68.0147,86.0587,space,18.0319,,86.0589,104.9418,5.005555556,18.8732,104.9421,106.3751,space,1.4273,,106.3916,114.9917,0,0,0,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9921,121.0915,0,1,1,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.098,123.6248,5.994444444,2.5175,0,0,0,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6258,129.6747,0,0,0,0,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.6811,133.8246,0,1,1,1,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8248,136.6415,2.988888889,2.8156,0,1,1,18,1,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6427,144.9413,0,0,0,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
