welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0022,2.3051,space,2.276,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,320.4086,320.4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,320.4161,434.3751,space,113.9018,,434.3756,468.2142,[-0.008261442184448242],[-0.44350504875183105],[1],[0],[0],[20.78279999999984],"[""play_button""]",right,23.8155,,468.2372,502.9256,space,34.6618,,502.9261,521.0872,4.928482056,18.1342,521.0881,523.4037,space,2.2962,,523.5206,529.6194,0,0,0,0,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.6209,535.566,0,1,1,1,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.5892,537.3492,5.056496143,1.7547,0,0,0,6,1,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.3541,544.7311,0,0,0,0,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.7529,551.263,0,1,1,1,1,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2634,552.2958,5.056496143,1.0075,0,1,1,20,1,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.2998,558.6115,0,0,0,0,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
