welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.music_making,survey.question1.Country,survey.question1.Classical,survey.question1.Latin,survey.question1.Metal,survey.question1.Ambient,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Pop,survey.question1.A cappella,survey.question1.R&B,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.Reggae,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0002,7.6495,space,7.6254,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,100.3597,100.3599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,100.3621,123.2085,space,22.8315,,123.2086,161.1953,"[0.018799664223030824,-0.016873712409032533,-0.016873712409032533]","[-0.4205195457423659,-0.426825257741153,-0.426825257741153]","[1,1,1]","[0,0,0]","[0,0,0]","[5.194500000000005,8.468600000143056,35.67099999999999]","[""play_button"",""play_button""]",right,27.9554,,161.1956,171.5941,space,10.3812,,171.5942,190.7623,4.895787905,19.1487,190.7626,191.6288,space,0.8533,,191.6554,197.8631,0,0,0,1,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.8745,204.0636,0,1,1,0,1,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0752,206.1965,5.934825322,2.114,0,0,0,7,1,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.1977,212.5464,0,0,0,0,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.5693,220.0649,0,1,1,1,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0656,234.5311,4.135935326,14.4446,0,1,1,3,1,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.5323,240.1326,0,0,0,0,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.1433,246.9664,0,1,1,1,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.9666,250.8657,1.785509501,3.8805,0,2,2,13,1,song_indices/IWannaDanceWithSomebody_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.8669,256.9503,0,0,0,0,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.961,262.901,0,1,1,1,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.9011,269.2008,2.030560637,6.2794,0,3,3,6,1,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.2026,278.052,0,0,0,0,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0643,286.3182,0,1,1,1,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3184,299.1704,3.428267387,12.8295,0,4,4,0,1,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.1722,305.2034,0,0,0,0,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.2189,313.3368,0,1,1,1,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.3369,314.3209,1.051355649,0.9662,0,5,5,9,1,song_indices/AnotherOneBitesTheDust_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.3223,320.7712,0,0,0,0,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7831,328.2712,0,1,1,1,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.2713,330.6046,6.471255786,2.3148,0,6,6,22,1,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.6065,336.8549,0,0,0,0,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
