welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Jazz,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.Alternative rock,survey.question1.Disco,survey.question1.Hip hop,survey.question1.Country,survey.question1.Classical,survey.question1.A cappella,survey.question1.Classic rock,survey.question1.Latin,survey.question1.Ambient,survey.question1.Reggae,survey.question1.R&B,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text3,survey.genres_ranked.text2,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0002,10.3354,space,10.3278,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,38.7544,38.7545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,38.7558,49.0023,space,10.2284,,49.0024,100.2695,[-0.012037037037037037],[-0.4203703703703704],[1],[0],[0],[33.0925],"[""play_button""]",right,41.2338,,100.2697,115.1863,space,14.8969,,115.1864,129.9029,6.994444444,14.7031,129.903,132.1027,space,2.1806,,132.1195,138.4364,0,0,0,0,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.4425,145.136,0,1,1,1,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.1422,148.6697,5.005555556,3.5138,0,0,0,1,1,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.6705,155.0194,0,0,0,0,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0256,162.5363,0,1,1,1,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5364,166.1362,4.005555556,3.5859,0,1,1,3,1,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.137,172.3863,0,0,0,0,1,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.3922,180.0696,0,1,1,1,1,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0697,181.7196,1.005555556,1.6364,0,2,2,16,1,song_indices/LivinOnAPrayer_BonJovi.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7207,187.8697,0,0,0,0,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8762,194.1364,0,1,1,1,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.1364,195.6364,1.005555556,1.4897,0,3,3,21,1,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6371,201.7364,0,0,0,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.7425,210.3366,0,1,1,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,502409,001,2024-06-17_09h45.04.130,experiment,2024.1.5,Win32,59.88023952,5bad8fc39c0cc900017a6a28,667045947eb812cbdacbf325,66704bbc3ac613868b2825b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.3367,211.6365,3,1.2897,0,4,4,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
