welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Pop,survey.question1.Hip hop,survey.question1.Reggae,survey.question1.Ambient,survey.question1.R&B,survey.question1.Latin,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Metal,survey.question1.Jazz,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0003,2.7625,space,2.7426,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,17.3132,17.3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,17.3159,19.831,space,2.4712,,19.8313,96.2351,"[-0.016666666666666666,-0.027777777777777776,-0.028703703703703703,-0.006481481481481481,-0.03888888888888889,-0.040740740740740744,0.002777777777777778,0.55,0.3509259259259259,-0.04259259259259259,-0.05,-0.04537037037037037,-0.1175925925925926,-0.41388888888888886,-0.5351851851851852,-0.3814814814814815,-0.020370370370370372,-0.020370370370370372,-0.022222222222222223,-0.022222222222222223,-0.022222222222222223,-0.022222222222222223,0.019444444444444445,0.012037037037037037,0.007407407407407408,0.019444444444444445,0.023148148148148147,0.01574074074074074,-0.002777777777777778,0.21666666666666667,-0.028703703703703703,-0.021296296296296296]","[-0.43425925925925923,-0.43703703703703706,-0.425,-0.42685185185185187,-0.3962962962962963,-0.46574074074074073,-0.44351851851851853,-0.4388888888888889,-0.2898148148148148,-0.09166666666666666,0.11296296296296296,-0.462037037037037,-0.41388888888888886,-0.40185185185185185,-0.2564814814814815,-0.25555555555555554,-0.4101851851851852,-0.4101851851851852,-0.4361111111111111,-0.4351851851851852,-0.4351851851851852,-0.4351851851851852,0.3453703703703704,0.1574074074074074,0.0787037037037037,-0.03796296296296296,-0.11018518518518519,-0.1675925925925926,-0.4398148148148148,-0.3296296296296296,-0.4148148148148148,-0.4287037037037037]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[15.33840000000038,24.139099999999633,25.369599999999632,39.28919999999927,40.77900000000001,42.137900000000386,43.55219999999926,44.47640000000038,46.28,47.37840000000038,48.16890000000038,49.75500000000001,50.34840000000038,50.944,51.510800000000756,52.08819999999926,53.60380000000076,53.920500000000004,54.84109999999964,55.09509999999963,55.37240000000038,55.899099999999635,57.04900000000001,57.587800000000755,58.072800000000754,58.68769999999927,59.378900000000385,60.20709999999964,61.385000000000005,62.5125,73.40490000000038,74.88550000000001]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,66.3502,,96.2357,121.0378,space,24.7587,,121.038,139.0632,2.388888889,18.0122,139.0637,146.7063,space,7.6165,,146.7404,153.5662,0,0,0,1,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5765,160.8267,0,1,1,0,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8388,162.3494,4.3,1.5095,0,0,0,7,1,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3514,168.5829,0,0,0,0,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5938,175.6011,0,1,1,1,1,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6013,177.679,1.622222222,2.0665,0,1,1,2,1,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6808,183.8151,0,0,0,0,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
