welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Classic rock,survey.question1.Ambient,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Pop,survey.question1.Reggae,survey.question1.Disco,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Metal,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.Classical,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0,1.322,space,1.29,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,32.013,32.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,32.015,33.828,space,1.779,,33.828,49.967,"[-0.020833333333333332,0.001388888888888889]","[-0.42916666666666664,-0.42083333333333334]","[1,1]","[0,0]","[0,0]","[6.324000000000012,14.80699999999996]","[""play_button"",""play_button""]",right,6.102,,49.968,54.6,space,4.523,,54.6,71.657,5,17.045,71.657,72.849,space,1.15,,72.935,79.18,0,0,0,1,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.181,85.47,0,1,1,0,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.47,88.233,6.558333333,2.749,0,0,0,13,1,song_indices/ItsAllInTheGame_TommyEdwards.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.257,95.435,0,0,0,1,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.438,101.425,0,1,1,0,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.426,103.4,3.008333333,1.958,0,1,1,17,1,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.413,110.785,0,0,0,1,1,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
