welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Reggae,survey.question1.Classical,survey.question1.Jazz,survey.question1.Disco,survey.question1.Ambient,survey.question1.Pop,survey.question1.Latin,survey.question1.R&B,survey.question1.Folk/indie,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0011,9.1729,space,9.1548,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,51.9507,51.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,51.9554,60.4576,space,8.4327,,60.4577,73.4372,[-0.032389283180236816],[-0.43359375],[1],[0],[0],[4.507299999952238],[],right,2.9599,,73.4469,100.4122,space,26.9415,,100.4126,116.5587,6.262427412,16.1208,116.559,119.7034,space,3.1275,,119.7393,125.8197,0,0,0,0,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8206,131.7601,0,1,1,1,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7691,135.0727,6.324892852,3.2923,0,0,0,6,1,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0743,141.0964,0,0,0,0,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.1049,145.8117,0,1,1,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.8118,147.2191,6.324892852,1.3884,0,1,1,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2206,153.9247,0,0,0,1,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9335,160.2482,0,1,1,0,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621704,001,2024-06-14_13h24.10.289,experiment,2024.1.5,Win32,59.88023952,6437848cce0b587f816052e9,666b5f73dbba3f0cd916b177,666c6f7abe9b5aea8b5bbba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.2483,162.2295,1.515035749,1.962,0,2,2,1,1,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
