welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Ambient,survey.question1.R&B,survey.question1.Metal,survey.question1.Jazz,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.A cappella,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Reggae,survey.question1.Pop,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0006,1.8595,space,1.8415,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,18.3246,18.3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,18.3258,22.6813,space,4.3428,,22.6814,55.243,"[-0.009259259259259259,-0.021296296296296296,0.004629629629629629]","[-0.3962962962962963,-0.4305555555555556,-0.4351851851851852]","[1,1,1]","[0,0,0]","[0,0,0]","[10.76490000000014,11.771300000000053,29.48780000000005]","[""play_button"",""play_button""]",right,22.5223,,55.2431,65.8928,space,10.6216,,65.893,90.293,4,24.3932,90.2932,92.1928,space,1.8675,,92.2066,98.8488,0,0,0,1,1,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8538,105.1471,0,1,1,0,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1526,107.4816,3.033333333,2.3281,0,0,0,20,1,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4821,113.7592,0,0,0,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7642,121.1925,0,1,1,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1925,126.5758,1.95,5.3674,0,1,1,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5764,132.6503,0,0,0,0,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6556,138.764,0,1,1,1,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7641,140.9506,4.077777778,2.1809,0,2,2,13,1,song_indices/TossinAndTurnin_BobbyLewis.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9511,147.4423,0,0,0,0,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4474,154.2804,0,1,1,1,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.2805,155.5258,4.927777778,1.2376,0,3,3,21,1,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5265,161.4424,0,0,0,1,1,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.4475,167.3304,0,1,1,0,1,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3305,169.0474,6.127777778,1.7113,0,4,4,19,1,song_indices/Irreplaceable_Beyonce.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
