welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classic rock,survey.question1.Latin,survey.question1.Metal,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Pop,survey.question1.Classical,survey.question1.Jazz,survey.question1.R&B,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Reggae,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0004,2.2177,space,2.1089,0.0003,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,12.9322,12.9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,12.9335,17.2304,space,4.1785,0.0003,17.2305,106.5608,"[-0.012037037037037037,-0.025,-0.03796296296296296,-0.008333333333333333,-0.000925925925925926,0.5601851851851852,-0.006481481481481481,0.6324074074074074,0.725,0.5546296296296296,-0.7712962962962963,0.9031556039173014,-0.04351851851851852,0.5981481481481481,-0.32752992383025026,0.5538628944504896,0.48313384113166485,-0.03333333333333333,-0.025925925925925925,0.5509259259259259,0.575925925925926,0.08796296296296297,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.002777777777777778,0.000925925925925926,0.1425925925925926,0.42592592592592593,0.7768518518518519,0.7620370370370371,0.39444444444444443]","[-0.44074074074074077,-0.41944444444444445,-0.4148148148148148,-0.4212962962962963,-0.41944444444444445,0.15462962962962962,-0.44074074074074077,-0.3111111111111111,-0.3527777777777778,-0.44537037037037036,-0.3787037037037037,0.25952121871599565,-0.42777777777777776,0.15833333333333333,0.4390642002176279,-0.05277475516866159,0.1311207834602829,-0.4166666666666667,-0.45740740740740743,-0.19166666666666668,-0.1175925925925926,-0.4527777777777778,-0.43425925925925923,-0.43425925925925923,-0.43425925925925923,-0.43425925925925923,-0.4361111111111111,0.06851851851851852,-0.39537037037037037,-0.2777777777777778,-0.4546296296296296,-0.03333333333333333]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12.336199999988082,32.73109999996424,43.904299999952315,51.85279999995231,53.76039999997616,54.47029999995232,64.36749999999999,64.76739999997615,65.04879999995232,65.46739999997617,66.17189999997616,70.15989999997616,71.94109999996424,72.77819999998808,73.88269999998808,75.10799999999999,77.84809999996425,80.83439999997616,81.61629999995232,82.15809999996425,82.56739999997616,82.986,83.27129999995232,83.93119999998807,84.45509999996425,85.13669999998807,85.66949999999999,86.217,86.63059999996425,87.03219999998807,87.71909999996423,88.539]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,79.1766,,106.561,120.1849,space,13.4957,,120.1851,135.4296,6.011111111,15.2375,135.4297,142.6487,space,7.1143,,142.6677,148.9208,0,0,0,1,1,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.9289,155.0552,0,1,1,0,1,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0633,157.9461,5.772222222,2.8821,0,0,0,1,1,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.9466,164.6872,0,0,0,0,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.6932,175.1523,0,1,1,1,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.1524,177.335,4.683333333,2.1763,0,1,1,3,1,song_indices/CrazyInLove_BeyonceFtJayZ.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,738562,001,2024-06-17_10h49.09.284,experiment,2024.1.5,Win32,10.01001001,5a3012083eff6600016f259c,667045947eb812cbdacbf325,66704ca58b5420009c673752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.3356,183.6625,0,0,0,0,1,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
