welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Ambient,survey.question1.A cappella,survey.question1.R&B,survey.question1.Metal,survey.question1.Latin,survey.question1.Reggae,survey.question1.Pop,survey.question1.Disco,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0002,51.8235,space,51.8135,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,78.1574,78.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,78.1604,83.2674,space,5.077,,83.2676,131.4198,"[-0.026851865980360243,0.0027778060347945603,-0.052777749520760996,0.004629629629629629,0.019444430315936054,0.015740783126265916,0.005555541427047165,-0.017592606721100985,-0.013888888888888888,-0.01111108285409433,-0.01111108285409433,-0.024074059945565683,0.011111153496636285,-0.009259259259259259,0.006481523867006655,0.037037037037037035,0.0425925784640842]","[-0.43425927338776765,-0.4314814673529731,-0.4287037319607205,-0.4166666666666667,-0.429629643758138,-0.429629643758138,-0.4305555555555556,-0.42777782016330296,-0.42777782016330296,-0.42777782016330296,-0.42407410233109083,-0.4351851851851852,-0.44166670905219185,-0.4111111252396195,-0.4398148148148148,-0.42777782016330296,-0.42777782016330296]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3.5153000000119192,4.778100000023841,9.681300000011916,11.276600000023834,14.720500000000001,14.799999999999997,27.698199999988077,31.604300000011904,32.418600000023815,32.801400000035756,33.16719999998807,35.29410000002383,35.99230000001191,36.50749999999999,37.00630000001192,46.414100000023836,47.26160000002383]","[""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button"",""play_button""]",right,38.1278,,131.4201,138.4672,space,7.0252,,138.4675,153.642,2.005555683,15.157,153.6421,155.0217,space,1.368,,155.0359,160.806,0,0,0,1,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.813,167.0054,0,1,1,0,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0131,169.6815,6.983333164,2.6608,0,0,0,8,1,song_indices/SmellsLikeTeenSpirit_Nirvana.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6824,176.8288,0,0,0,1,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.8369,182.8122,0,1,1,0,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.8124,186.9344,3.038889143,4.1027,0,1,1,17,1,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,748237,001,2024-06-17_09h56.24.897,experiment,2024.1.5,Win32,59.88023952,568e7e33e3ef9e000da202a7,667045947eb812cbdacbf325,66704b5b1b101716cf98f116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9353,193.1008,0,0,0,0,1,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
