welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Disco,survey.question1.Country,survey.question1.A cappella,survey.question1.Pop,survey.question1.R&B,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Jazz,survey.question1.Metal,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0001,100.3615,space,100.3561,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,127.684,127.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,127.6851,133.6911,space,5.9922,,133.6912,178.0682,"[-0.006481481481481481,0.003703703703703704]","[-0.425,-0.42592592592592593]","[1,1]","[0,0]","[0,0]","[13.085900000005978,42.85479999999703]","[""play_button"",""play_button""]",right,34.3595,,178.0684,188.0923,space,10.0165,,188.0925,203.743,4.016666667,15.6442,203.7432,205.5469,space,1.7967,,205.5597,212.8162,0,0,0,1,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8218,219.1895,0,1,1,0,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1949,220.4866,6.988888889,1.2873,0,0,0,18,1,song_indices/FlashdanceWhatAFeeling_IreneCara.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.4873,226.9169,0,0,0,1,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.9221,232.9737,0,1,1,0,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9739,235.178,6.977777778,2.1984,0,1,1,4,1,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,752587,001,2024-06-14_11h17.23.288,experiment,2024.1.5,Win32,163.9344262,65bfc33d79b5cd4ab0ff8a2c,666b5f73dbba3f0cd916b177,666c6cc7f09588c5755d457b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.1786,242.174,0,0,0,0,1,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
