welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Disco,survey.question1.Reggae,survey.question1.Classical,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Jazz,survey.question1.Metal,survey.question1.Hip hop,survey.question1.Country,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0007,1.4574,space,1.4438,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,12.5176,12.5178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,12.519,16.2157,space,3.6684,,16.2159,30.0971,[-0.032407407407407406],[-0.4009259541829427],[1],[0],[0],[11.860799999998882],[],right,3.8499,,30.0975,40.1523,space,10.028,,40.1524,55.928,5,15.7643,55.9291,57.6156,space,1.6677,,57.6407,63.8425,0,0,0,0,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8431,69.7916,0,1,1,1,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7988,71.0417,3.983333588,1.23,0,0,0,6,1,song_indices/TheBoyIsMine_BrandyMonica.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0432,81.2902,0,0,0,1,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.298,87.8392,0,1,1,0,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8394,88.9724,1.088889016,1.1169,0,1,1,3,1,song_indices/CrazyInLove_BeyonceFtJayZ.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9739,95.305,0,0,0,0,1,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
