welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Pop,survey.question1.Latin,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Disco,survey.question1.R&B,survey.question1.Ambient,survey.question1.Reggae,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0006,2.8338,space,2.8042,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,27.2386,27.2393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,27.242,33.5618,space,6.2835,,33.562,69.9522,"[0.016666666666666666,-0.001851851851851852]","[-0.4148148148148148,-0.43425925925925923]","[1,1]","[0,0]","[0,0]","[6.221300000004483,7.413899999998513]","[""play_button""]",right,26.3643,,69.9524,77.1115,space,7.1297,,77.1118,92.201,4.972222222,15.073,92.2013,97.336,space,5.1174,,97.368,103.5712,0,0,0,0,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.572,110.5567,0,1,1,1,1,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5669,111.7749,3.961111111,1.205,0,0,0,2,1,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7762,117.7928,0,0,0,0,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8027,123.5118,0,1,1,1,1,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.512,125.179,3.033333333,1.6558,0,1,1,10,1,song_indices/Levitating_DuaLipa.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.1811,131.5812,0,0,0,0,1,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
