welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Disco,survey.question1.Reggae,survey.question1.Folk/indie,survey.question1.Alternative rock,survey.question1.Classical,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Latin,survey.question1.Country,survey.question1.Hip hop,survey.question1.Metal,survey.question1.A cappella,survey.question1.Pop,survey.question1.R&B,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0005,56.7059,space,56.6567,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,96.9977,96.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,97.0006,100.6652,space,3.6283,,100.6656,149.1823,"[-0.012962962962962963,0.5527777777777778,-0.025,0.4046296296296296]","[-0.4287037037037037,-0.1685185185185185,-0.425,-0.18796296296296297]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[18.385899999976147,45.432199999988086,46.70339999997617,47.50329999998212]","[""play_button""]",right,38.4688,,149.1833,234.0626,space,84.8359,,234.0628,250.2675,5.544444444,16.2024,250.2678,251.6022,space,1.3163,,251.6289,257.5537,0,0,0,0,1,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.555,263.576,0,1,1,1,1,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.599,279.1724,4.461111111,15.5695,0,0,0,1,1,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1748,285.3695,0,0,0,0,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.3957,293.3655,0,1,1,1,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.3658,296.715,4,3.3274,0,1,1,4,1,song_indices/TheBattleOfNewOrleans_JohnnyHorton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.718,302.7792,0,0,0,1,1,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
