welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.Alternative rock,survey.question1.Disco,survey.question1.Metal,survey.question1.Latin,survey.question1.Pop,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Country,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.R&B,survey.question1.Ambient,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0004,1.9396,space,1.9032,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,33.473,33.4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,33.4803,39.6026,space,6.0148,,39.6034,55.9062,[],[],[],[],[],[],[],right,6.2677,,55.9707,71.3953,space,15.3692,,71.3963,86.4768,5.920000203,15.0725,86.4778,89.2686,space,2.7709,,89.3765,95.531,0,0,0,0,1,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.607,100.0031,0,1,1,1,1,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0732,102.0065,2.603333282,1.9259,0,0,0,12,1,song_indices/LikeARollingStone_BobDylan.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0133,108.3497,0,0,0,0,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4198,115.9346,0,1,1,1,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.9352,117.5779,2.666666667,1.5852,0,1,1,3,1,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5822,122.295,0,0,0,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
