welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Classic rock,survey.question1.Folk/indie,survey.question1.Jazz,survey.question1.Latin,survey.question1.Metal,survey.question1.Electronic (EDM),survey.question1.Pop,survey.question1.R&B,survey.question1.Reggae,survey.question1.Disco,survey.question1.Classical,survey.question1.Country,survey.question1.Ambient,survey.question1.Alternative rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0011,1.6099,space,1.588,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,257.196,257.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,257.2027,266.2692,space,9.0,,266.2699,386.0081,[],[],[],[],[],[],[],right,31.4803,,386.0101,395.3249,space,9.2663,,395.3254,411.9546,5.027778117,16.5823,411.955,413.8884,space,1.9169,,413.9871,420.2045,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.2063,426.3358,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.3715,428.8854,5.966666667,2.5087,0.0,0.0,0.0,4.0,1.0,song_indices/Smooth_SantanaRobThomas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8868,435.1843,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.22,443.5214,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.5218,444.7164,5.844444784,1.1442,0.0,1.0,1.0,5.0,1.0,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.7183,505.57,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.5905,509.9811,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.9817,511.7824,3.327778117,1.7618,0.0,2.0,2.0,12.0,1.0,song_indices/LikeARollingStone_BobDylan.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.784,519.2034,0.0,0.0,0.0,1.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.2236,525.2462,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.2468,528.981,5.755555725,3.6889,0.0,3.0,3.0,2.0,1.0,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.9818,536.0119,0.0,0.0,0.0,1.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0461,542.1772,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.1777,544.6428,2.6,2.4218,0.0,4.0,4.0,14.0,1.0,song_indices/StrawberryFieldsForever_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.6442,550.9923,0.0,0.0,0.0,0.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.0269,558.5417,0.0,1.0,1.0,1.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.5423,566.3146,5.794444784,7.7267,0.0,5.0,5.0,3.0,1.0,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.3154,572.5562,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.591,580.2729,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.2736,581.339,5.144444784,1.0262,0.0,6.0,6.0,16.0,1.0,song_indices/LivinOnAPrayer_BonJovi.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.3398,586.9378,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.9722,593.8202,0.0,1.0,1.0,1.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.8208,596.2958,4.8,2.4283,0.0,7.0,7.0,13.0,1.0,song_indices/IWannaDanceWithSomebody_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.2965,602.3356,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.3638,608.1517,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.1521,611.0512,2.933333333,2.8652,0.0,8.0,8.0,19.0,1.0,song_indices/IWantToHoldYourHand_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.053,617.5672,0.0,0.0,0.0,1.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.6024,624.9834,0.0,1.0,1.0,0.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.9842,627.2487,5.672222392,2.2217,0.0,9.0,9.0,20.0,1.0,song_indices/OldTownRoad_LilNasX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.25,636.1146,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.1515,644.4153,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.4158,647.0968,5.538889058,2.6426,0.0,10.0,10.0,0.0,1.0,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0985,651.8133,0.0,0.0,0.0,1.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.8475,657.8954,0.0,1.0,1.0,0.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.8958,658.7615,5.538889058,0.8222,0.0,11.0,11.0,17.0,1.0,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.7629,666.8944,0.0,0.0,0.0,1.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.9295,672.9769,0.0,1.0,1.0,0.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.9772,678.5783,2.972222392,5.5546,0.0,12.0,12.0,9.0,1.0,song_indices/AnotherOneBitesTheDust_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.5793,686.2422,0.0,0.0,0.0,1.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.2759,692.6746,0.0,1.0,1.0,0.0,1.0,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.6752,699.943,5.366666667,7.2227,0.0,13.0,13.0,15.0,1.0,song_indices/MyGirl_TheTemptations.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.9437,706.1393,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.1746,712.3882,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.3887,714.0379,5.294444784,1.602,0.0,14.0,14.0,7.0,1.0,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0396,720.4928,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.5278,728.0422,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43195,1,2024-06-17_11h07.48.245,experiment,2024.1.5,Win32,59.52380952,667045947eb812cbdacbf325,66704e77ed47d583c562d56b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0428,729.4024,5.294444784,1.3175,0.0,15.0,15.0,22.0,1.0,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
