welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Ambient,survey.question1.Reggae,survey.question1.Alternative rock,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.R&B,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Country,survey.question1.Jazz,survey.question1.Pop,survey.question1.Metal,survey.question1.Classical,survey.question1.Latin,survey.question1.Electronic (EDM),survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.001,3.152,space,3.076,0.021,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,20.172,20.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,20.175,23.679,space,3.437,,23.679,47.763,"[-0.04337631887456037,-0.0011723329425556857,0.4876905041031653]","[-0.44607268464243843,-0.43669402110199296,-0.17174677608440797]","[1,1,1]","[0,0,0]","[0,0,0]","[2.092000000000013,4.244,14.957999999999998]","[""play_button""]",right,13.996,,47.765,61.295,space,13.365,,61.296,76.736,6.046893318,15.427,76.737,78.571,space,1.781,0.005,78.714,84.584,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.587,91.003,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.005,94.461,6.982415006,3.417,0.0,0.0,0.0,10.0,1.0,song_indices/IWillAlwaysLoveYou_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.471,100.691,0.0,0.0,0.0,1.0,1.0,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.704,106.903,0.0,1.0,1.0,0.0,1.0,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.917,108.773,4.977725674,1.835,0.0,1.0,1.0,14.0,1.0,song_indices/NoScrubs_TLC.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.792,116.519,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.522,123.892,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.897,126.397,4.963657679,2.494,0.0,2.0,2.0,7.0,1.0,song_indices/Happy_PharellWilliams.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.405,133.297,0.0,0.0,0.0,1.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.306,140.064,0.0,1.0,1.0,0.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.064,141.362,5.005861665,1.289,0.0,3.0,3.0,2.0,1.0,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.378,147.608,0.0,0.0,0.0,1.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.613,153.925,0.0,1.0,1.0,0.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.926,156.273,4.0,2.317,0.0,4.0,4.0,16.0,1.0,song_indices/RockWithYou_MichaelJackson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.281,162.177,0.0,0.0,0.0,0.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.192,168.317,0.0,1.0,1.0,1.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.32,169.214,5.976553341,0.881,0.0,5.0,5.0,11.0,1.0,song_indices/EyeOfTheTiger_Survivor.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.231,175.506,0.0,0.0,0.0,0.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.509,181.916,0.0,1.0,1.0,1.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.918,182.993,4.049237984,1.067,0.0,6.0,6.0,13.0,1.0,song_indices/ItsAllInTheGame_TommyEdwards.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.007,189.59,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.592,195.857,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.86,196.944,2.98007034,1.066,0.0,7.0,7.0,0.0,1.0,song_indices/GoodGollyMissMolly_LittleRichard.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.962,203.208,0.0,0.0,0.0,1.0,1.0,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.211,210.939,0.0,1.0,1.0,0.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.941,212.188,2.874560375,1.239,0.0,8.0,8.0,19.0,1.0,song_indices/NoOne_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.195,219.237,0.0,0.0,0.0,1.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.238,226.468,0.0,1.0,1.0,0.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.468,227.676,5.005861665,1.193,0.0,9.0,9.0,15.0,1.0,song_indices/UptownFunk_MarkRonson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.691,233.465,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.471,239.683,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.684,240.932,4.161781946,1.24,0.0,10.0,10.0,8.0,1.0,song_indices/SmellsLikeTeenSpirit_Nirvana.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.94,249.868,0.0,0.0,0.0,1.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.87,256.147,0.0,1.0,1.0,0.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.15,257.086,1.896834701,0.93,0.0,11.0,11.0,22.0,1.0,song_indices/HeyYa_Outkast.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.102,263.13,0.0,0.0,0.0,1.0,1.0,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.138,269.051,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.052,270.032,3.127784291,0.973,0.0,12.0,12.0,1.0,1.0,song_indices/StandByMe_BenEKing.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.049,276.252,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.253,282.369,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75360,1,2024-06-17_15h27.29.415,experiment,2024.1.5,Win32,30.12048193,667045947eb812cbdacbf325,66704cf4bf60d8ce1793e0a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.371,283.468,5.92028136,1.093,0.0,13.0,13.0,20.0,1.0,song_indices/GimmeShelter_RollingStones.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
