welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.listen_time,survey.medium,survey.music_making,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Pop,survey.question1.A cappella,survey.genres_ranked.text3,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0001,23.8283,space,23.8099,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,157.4339,157.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,157.436,161.0748,space,3.6119,,161.075,172.5584,[-0.016666624281141493],[-0.41296294883445456],[1],[0],[0],[9.445499999999981],[],right,1.4545,,172.5587,188.0242,space,15.448,,188.0242,212.4901,4.983333588,24.4607,212.4904,213.7906,space,1.2828,,213.8053,219.6903,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.691,225.89,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8907,227.7401,3.577777863,1.842,0.0,0.0,0.0,12.0,1.0,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7412,233.8061,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.8064,239.7231,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.7231,241.1732,1.994444529,1.4447,0.0,1.0,1.0,0.0,1.0,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,151954,1,2024-06-17_13h40.46.258,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667071dfbb0ee8ebf71c5f7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.1744,248.7062,0.0,0.0,0.0,1.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
