welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Jazz,survey.question1.Disco,survey.question1.A cappella,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Reggae,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Country,survey.question1.R&B,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
0.0,1.339,space,1.31,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,16.418,16.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,16.418,20.302,space,3.87,,20.302,40.411,"[-0.02013888888888889,-0.01875]","[-0.3958333333333333,-0.42430555555555555]","[1,1]","[0,0]","[0,0]","[10.469999999999999,10.86]","[""play_button""]",right,10.097,,40.412,50.509,space,10.079,,50.509,67.039,5.479166667,16.527,67.039,69.36,space,2.312,,69.368,75.552,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.552,83.508,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.508,86.78,2.766666667,3.268,0.0,0.0,0.0,4.0,1.0,song_indices/TheBattleOfNewOrleans_JohnnyHorton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.781,92.923,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.924,99.337,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.337,101.073,5.8375,1.733,0.0,1.0,1.0,12.0,1.0,song_indices/Fallin_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.075,108.071,0.0,0.0,0.0,1.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
